# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "15" "-p" "-s" "2" "-a" "assembly/DV3.gff" "-t" "CDS" "-g" "ID" "-o" "DV3/featureCount_DV3.txt" "DV3/DV3_rep1_rna_map.sorted.bam" "DV3/DV3_rep2_rna_map.sorted.bam" "DV3/DV3_rep3_rna_map.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	DV3/DV3_rep1_rna_map.sorted.bam	DV3/DV3_rep2_rna_map.sorted.bam	DV3/DV3_rep3_rna_map.sorted.bam
LGFCPJMF_02231	contig_1_pilon	2590425	2592140	+	1716	155	175	260
LGFCPJMF_02232	contig_1_pilon	2592205	2594682	-	2478	325	335	345
LGFCPJMF_02233	contig_1_pilon	2595164	2596348	+	1185	95	162	184
LGFCPJMF_02234	contig_1_pilon	2596405	2596758	-	354	6	10	0
LGFCPJMF_02235	contig_1_pilon	2597130	2597891	+	762	81	61	168
LGFCPJMF_02236	contig_1_pilon	2597888	2598736	-	849	48	20	102
LGFCPJMF_02237	contig_1_pilon	2598897	2599655	+	759	6	0	12
LGFCPJMF_02238	contig_1_pilon	2599710	2600525	+	816	7	2	0
LGFCPJMF_02239	contig_1_pilon	2600522	2601772	-	1251	46	74	102
LGFCPJMF_02240	contig_1_pilon	2602216	2603532	+	1317	216	300	479
LGFCPJMF_02241	contig_1_pilon	2603564	2604574	-	1011	14	8	68
LGFCPJMF_02242	contig_1_pilon	2604746	2605354	+	609	8	3	10
LGFCPJMF_02243	contig_1_pilon	2605522	2606328	+	807	10	22	0
LGFCPJMF_02244	contig_1_pilon	2606428	2606730	+	303	0	0	0
LGFCPJMF_02245	contig_1_pilon	2606727	2607179	+	453	0	2	0
LGFCPJMF_02246	contig_1_pilon	2607176	2607607	+	432	0	0	0
LGFCPJMF_02247	contig_1_pilon	2607505	2608326	-	822	4	3	10
LGFCPJMF_02248	contig_1_pilon	2609283	2610098	-	816	12	27	1
LGFCPJMF_02249	contig_1_pilon	2610311	2610646	+	336	0	0	0
LGFCPJMF_02250	contig_1_pilon	2610663	2611241	+	579	0	8	0
LGFCPJMF_02251	contig_1_pilon	2611327	2612589	+	1263	0	0	0
LGFCPJMF_02252	contig_1_pilon	2612567	2613382	-	816	186	164	129
LGFCPJMF_02253	contig_1_pilon	2613372	2614685	-	1314	107	71	150
LGFCPJMF_02254	contig_1_pilon	2614887	2615657	+	771	44	21	28
LGFCPJMF_02255	contig_1_pilon	2615665	2617506	-	1842	279	333	455
LGFCPJMF_02256	contig_1_pilon	2617698	2618870	-	1173	12	5	0
LGFCPJMF_02257	contig_1_pilon	2618985	2619980	+	996	6	11	20
LGFCPJMF_02258	contig_1_pilon	2620049	2621560	+	1512	84	58	240
LGFCPJMF_02259	contig_1_pilon	2621557	2621775	+	219	16	7	17
LGFCPJMF_02260	contig_1_pilon	2621809	2622351	-	543	4	1	0
LGFCPJMF_02261	contig_1_pilon	2622510	2623763	-	1254	2	0	0
LGFCPJMF_02262	contig_1_pilon	2624049	2624843	-	795	11	13	0
LGFCPJMF_02263	contig_1_pilon	2624989	2625345	-	357	13	8	4
LGFCPJMF_02264	contig_1_pilon	2625398	2626297	-	900	42	53	22
LGFCPJMF_02265	contig_1_pilon	2626390	2626977	-	588	46	36	37
LGFCPJMF_02266	contig_1_pilon	2626974	2627513	-	540	55	37	58
LGFCPJMF_02267	contig_1_pilon	2627624	2629210	-	1587	941	959	1462
LGFCPJMF_02268	contig_1_pilon	2629487	2629846	+	360	4	3	18
LGFCPJMF_02269	contig_1_pilon	2630611	2631624	+	1014	22	52	68
LGFCPJMF_02270	contig_1_pilon	2631671	2633491	-	1821	30	31	68
LGFCPJMF_02271	contig_1_pilon	2633559	2635214	-	1656	26	26	8
LGFCPJMF_02272	contig_1_pilon	2635211	2636683	-	1473	18	34	35
LGFCPJMF_02273	contig_1_pilon	2637027	2638130	+	1104	34	27	48
LGFCPJMF_02274	contig_1_pilon	2638072	2639208	-	1137	17	33	12
LGFCPJMF_02275	contig_1_pilon	2639718	2640371	+	654	19	7	34
LGFCPJMF_02276	contig_1_pilon	2640368	2641612	+	1245	22	14	8
LGFCPJMF_02277	contig_1_pilon	2641789	2642199	-	411	191	144	102
LGFCPJMF_02278	contig_1_pilon	2642606	2643181	+	576	236	115	644
LGFCPJMF_02279	contig_1_pilon	2643178	2644578	+	1401	92	75	109
LGFCPJMF_02280	contig_1_pilon	2644612	2645484	-	873	335	466	748
LGFCPJMF_02281	contig_1_pilon	2645545	2645994	-	450	141	176	92
LGFCPJMF_02282	contig_1_pilon	2646166	2647500	+	1335	357	473	582
LGFCPJMF_02283	contig_1_pilon	2647606	2649429	-	1824	20	18	98
LGFCPJMF_02284	contig_1_pilon	2649634	2651025	-	1392	122	112	110
LGFCPJMF_02285	contig_1_pilon	2651561	2652232	+	672	2	1	13
LGFCPJMF_02286	contig_1_pilon	2652405	2653262	+	858	48	62	20
LGFCPJMF_02287	contig_1_pilon	2653259	2654926	+	1668	59	55	23
LGFCPJMF_02288	contig_1_pilon	2654923	2655408	+	486	16	14	0
LGFCPJMF_02289	contig_1_pilon	2655401	2656369	-	969	9	18	32
LGFCPJMF_02290	contig_1_pilon	2656446	2657318	-	873	65	26	50
LGFCPJMF_02291	contig_1_pilon	2658072	2658764	-	693	583	466	691
LGFCPJMF_02292	contig_1_pilon	2659171	2659929	+	759	14	4	6
LGFCPJMF_02293	contig_1_pilon	2659946	2661331	-	1386	14	11	30
LGFCPJMF_02294	contig_1_pilon	2661891	2662586	-	696	253	253	308
LGFCPJMF_02295	contig_1_pilon	2663022	2664119	+	1098	144	133	46
LGFCPJMF_02296	contig_1_pilon	2664101	2664523	-	423	4	5	0
LGFCPJMF_02297	contig_1_pilon	2664630	2665628	+	999	4	0	0
LGFCPJMF_02298	contig_1_pilon	2665635	2666261	-	627	6	5	24
LGFCPJMF_02299	contig_1_pilon	2666249	2667040	-	792	2	2	54
LGFCPJMF_02300	contig_1_pilon	2667037	2668629	-	1593	14	10	66
LGFCPJMF_02301	contig_1_pilon	2668762	2669931	-	1170	10	4	20
LGFCPJMF_02302	contig_1_pilon	2669958	2671856	-	1899	0	0	2
LGFCPJMF_02303	contig_1_pilon	2671864	2673462	-	1599	2	2	0
LGFCPJMF_02304	contig_1_pilon	2673459	2675171	-	1713	12	2	16
LGFCPJMF_02305	contig_1_pilon	2675168	2675965	-	798	10	1	4
LGFCPJMF_02306	contig_1_pilon	2676320	2676841	+	522	3	0	11
LGFCPJMF_02307	contig_1_pilon	2676951	2677841	+	891	14	3	0
LGFCPJMF_02308	contig_1_pilon	2677883	2678887	+	1005	19	15	64
LGFCPJMF_02309	contig_1_pilon	2678887	2679678	+	792	12	8	6
LGFCPJMF_02310	contig_1_pilon	2679751	2680995	+	1245	16	14	176
LGFCPJMF_02311	contig_1_pilon	2681000	2681233	+	234	0	0	1
LGFCPJMF_02312	contig_1_pilon	2681304	2682308	-	1005	2	13	8
LGFCPJMF_02313	contig_1_pilon	2682339	2683238	+	900	10	13	30
LGFCPJMF_02314	contig_1_pilon	2683248	2686118	-	2871	6	18	57
LGFCPJMF_02315	contig_1_pilon	2686180	2687538	-	1359	10	8	0
LGFCPJMF_02316	contig_1_pilon	2687612	2688691	+	1080	2	2	0
LGFCPJMF_02317	contig_1_pilon	2688709	2689827	+	1119	415	597	1283
LGFCPJMF_02318	contig_1_pilon	2689908	2690732	-	825	4	0	0
LGFCPJMF_02319	contig_1_pilon	2690729	2691742	-	1014	2	2	0
LGFCPJMF_02320	contig_1_pilon	2691904	2692671	+	768	16	18	56
LGFCPJMF_02321	contig_1_pilon	2692706	2693707	-	1002	28	51	29
LGFCPJMF_02322	contig_1_pilon	2693862	2694551	+	690	2	10	14
LGFCPJMF_02323	contig_1_pilon	2694614	2694778	+	165	4	2	0
LGFCPJMF_02324	contig_1_pilon	2694902	2695891	-	990	232	321	474
LGFCPJMF_02325	contig_1_pilon	2695960	2696541	-	582	0	1	0
LGFCPJMF_02326	contig_1_pilon	2696567	2696971	+	405	0	2	0
LGFCPJMF_02327	contig_1_pilon	2697140	2697706	-	567	8	2	0
LGFCPJMF_02328	contig_1_pilon	2697842	2699248	-	1407	49	45	173
LGFCPJMF_02329	contig_1_pilon	2699279	2699728	-	450	42	52	65
LGFCPJMF_02330	contig_1_pilon	2699847	2700035	+	189	0	1	10
LGFCPJMF_02331	contig_1_pilon	2700066	2701535	-	1470	46	23	32
LGFCPJMF_02332	contig_1_pilon	2701852	2702133	+	282	151	135	55
LGFCPJMF_02333	contig_1_pilon	2702307	2704700	+	2394	557	551	1284
LGFCPJMF_02334	contig_1_pilon	2704705	2705013	-	309	5	6	4
LGFCPJMF_02335	contig_1_pilon	2705242	2708520	-	3279	20	26	32
LGFCPJMF_02336	contig_1_pilon	2709148	2710071	-	924	212	154	331
LGFCPJMF_02337	contig_1_pilon	2710481	2711980	+	1500	168	89	182
LGFCPJMF_02338	contig_1_pilon	2712007	2712519	+	513	117	163	131
LGFCPJMF_02339	contig_1_pilon	2712556	2713311	+	756	3	2	0
LGFCPJMF_02340	contig_1_pilon	2713308	2714159	+	852	43	30	10
LGFCPJMF_02341	contig_1_pilon	2714170	2714553	-	384	442	433	488
LGFCPJMF_02342	contig_1_pilon	2714787	2714990	+	204	158	189	80
LGFCPJMF_02343	contig_1_pilon	2714996	2715670	-	675	30	48	58
LGFCPJMF_02344	contig_1_pilon	2715763	2716782	+	1020	2	4	4
LGFCPJMF_02345	contig_1_pilon	2716907	2717995	+	1089	0	0	12
LGFCPJMF_02346	contig_1_pilon	2717992	2718867	+	876	0	2	0
LGFCPJMF_02347	contig_1_pilon	2718911	2719975	+	1065	9	8	22
LGFCPJMF_02348	contig_1_pilon	2720015	2721304	-	1290	119	85	122
LGFCPJMF_02350	contig_1_pilon	2724215	2724844	-	630	22	28	0
LGFCPJMF_02351	contig_1_pilon	2725007	2726650	+	1644	219	174	202
LGFCPJMF_02352	contig_1_pilon	2726692	2728029	-	1338	229	230	457
LGFCPJMF_02353	contig_1_pilon	2728179	2728382	-	204	191	147	586
LGFCPJMF_02354	contig_1_pilon	2728761	2730818	+	2058	65	48	122
LGFCPJMF_02355	contig_1_pilon	2730923	2731627	-	705	16	11	39
LGFCPJMF_02356	contig_1_pilon	2731756	2732556	+	801	200	131	302
LGFCPJMF_02357	contig_1_pilon	2732543	2733352	-	810	100	51	94
LGFCPJMF_02358	contig_1_pilon	2733349	2733819	-	471	338	376	392
LGFCPJMF_02359	contig_1_pilon	2734095	2735318	+	1224	18	10	25
LGFCPJMF_02360	contig_1_pilon	2735364	2735636	-	273	120	112	129
LGFCPJMF_02361	contig_1_pilon	2735638	2736000	-	363	125	81	125
LGFCPJMF_02362	contig_1_pilon	2736111	2737058	+	948	30	15	108
LGFCPJMF_02363	contig_1_pilon	2737145	2738104	+	960	34	13	130
LGFCPJMF_02364	contig_1_pilon	2738160	2739746	+	1587	34	24	14
LGFCPJMF_02365	contig_1_pilon	2739760	2741238	-	1479	30	41	35
LGFCPJMF_02366	contig_1_pilon	2741407	2742282	-	876	34	20	42
LGFCPJMF_02367	contig_1_pilon	2742454	2744079	-	1626	1328	1589	1421
LGFCPJMF_02368	contig_1_pilon	2744446	2744649	-	204	514	681	80
LGFCPJMF_02369	contig_1_pilon	2745082	2745360	-	279	319	497	334
LGFCPJMF_02370	contig_1_pilon	2745516	2746805	-	1290	822	879	2077
LGFCPJMF_02371	contig_1_pilon	2747139	2748086	+	948	24	22	38
LGFCPJMF_02372	contig_1_pilon	2748182	2749642	+	1461	677	480	810
LGFCPJMF_02373	contig_1_pilon	2749653	2750510	-	858	130	64	155
LGFCPJMF_02374	contig_1_pilon	2750613	2750882	-	270	13	11	40
LGFCPJMF_02375	contig_1_pilon	2750963	2752237	-	1275	49	99	64
LGFCPJMF_02376	contig_1_pilon	2752530	2753423	+	894	12	5	48
LGFCPJMF_02377	contig_1_pilon	2753423	2754631	+	1209	42	17	148
LGFCPJMF_02378	contig_1_pilon	2754979	2755908	+	930	33	15	59
LGFCPJMF_02379	contig_1_pilon	2755992	2756954	-	963	118	104	62
LGFCPJMF_02380	contig_1_pilon	2757166	2758854	-	1689	340	344	438
LGFCPJMF_02381	contig_1_pilon	2759157	2759759	+	603	43	68	204
LGFCPJMF_02382	contig_1_pilon	2760004	2760441	-	438	205	288	286
LGFCPJMF_02383	contig_1_pilon	2760650	2761225	+	576	2046	2969	3964
LGFCPJMF_02384	contig_1_pilon	2761631	2762065	-	435	6	5	20
LGFCPJMF_02385	contig_1_pilon	2762289	2763749	+	1461	48	32	190
LGFCPJMF_02386	contig_1_pilon	2763890	2764069	-	180	2	0	30
LGFCPJMF_02387	contig_1_pilon	2764293	2765651	-	1359	38	41	113
LGFCPJMF_02388	contig_1_pilon	2765989	2766486	+	498	70	109	219
LGFCPJMF_02389	contig_1_pilon	2766562	2767299	-	738	38	22	84
LGFCPJMF_02390	contig_1_pilon	2767665	2768942	+	1278	71	28	56
LGFCPJMF_02391	contig_1_pilon	2769116	2770114	+	999	4	7	10
LGFCPJMF_02392	contig_1_pilon	2770245	2771339	-	1095	22	42	16
LGFCPJMF_02393	contig_1_pilon	2771602	2772474	+	873	36	68	111
LGFCPJMF_02394	contig_1_pilon	2772537	2773019	-	483	140	82	184
LGFCPJMF_02396	contig_1_pilon	2773334	2774470	+	1137	224	299	188
LGFCPJMF_02397	contig_1_pilon	2774985	2775404	+	420	92	115	89
LGFCPJMF_02398	contig_1_pilon	2775435	2776160	+	726	68	120	133
LGFCPJMF_02399	contig_1_pilon	2776282	2777919	-	1638	19	23	70
LGFCPJMF_02400	contig_1_pilon	2778204	2779157	-	954	400	273	717
LGFCPJMF_02401	contig_1_pilon	2779388	2780782	-	1395	912	1314	1187
LGFCPJMF_02402	contig_1_pilon	2780888	2781292	-	405	39	66	9
LGFCPJMF_02403	contig_1_pilon	2781568	2782074	-	507	18	6	125
LGFCPJMF_02404	contig_1_pilon	2782061	2782846	-	786	75	43	56
LGFCPJMF_02405	contig_1_pilon	2783241	2783723	-	483	6094	9016	5124
LGFCPJMF_02406	contig_1_pilon	2784471	2785130	+	660	131	193	327
LGFCPJMF_02407	contig_1_pilon	2785338	2786018	-	681	478	655	706
LGFCPJMF_02408	contig_1_pilon	2786015	2787283	-	1269	698	686	1412
LGFCPJMF_02409	contig_1_pilon	2787523	2788200	+	678	475	681	745
LGFCPJMF_02410	contig_1_pilon	2788332	2788445	+	114	81	47	275
LGFCPJMF_02411	contig_1_pilon	2789155	2791002	-	1848	23	33	52
LGFCPJMF_02412	contig_1_pilon	2791237	2791998	-	762	2588	2343	4256
LGFCPJMF_02413	contig_1_pilon	2792277	2793572	+	1296	46	38	28
LGFCPJMF_02414	contig_1_pilon	2793606	2794100	-	495	27	98	140
LGFCPJMF_02415	contig_1_pilon	2794093	2795487	-	1395	69	46	212
LGFCPJMF_02416	contig_1_pilon	2795690	2796502	+	813	0	4	36
LGFCPJMF_02417	contig_1_pilon	2796524	2797369	-	846	62	38	34
LGFCPJMF_02418	contig_1_pilon	2797612	2798619	+	1008	26	42	98
LGFCPJMF_02419	contig_1_pilon	2798671	2799093	-	423	452	723	406
LGFCPJMF_02420	contig_1_pilon	2799385	2799711	+	327	12	2	0
LGFCPJMF_02421	contig_1_pilon	2799748	2800176	-	429	353	436	355
LGFCPJMF_02422	contig_1_pilon	2800184	2801389	-	1206	231	84	150
LGFCPJMF_02423	contig_1_pilon	2801373	2803754	-	2382	2042	2416	3528
LGFCPJMF_02424	contig_1_pilon	2803977	2804294	-	318	34	36	16
LGFCPJMF_02425	contig_1_pilon	2804465	2804947	-	483	1	0	0
LGFCPJMF_02426	contig_1_pilon	2804952	2805836	-	885	4	2	8
LGFCPJMF_02427	contig_1_pilon	2806151	2807098	-	948	54	37	44
LGFCPJMF_02428	contig_1_pilon	2807234	2809066	+	1833	183	351	326
LGFCPJMF_02429	contig_1_pilon	2809139	2810068	-	930	40	64	58
LGFCPJMF_02430	contig_1_pilon	2810257	2810778	+	522	49	52	58
LGFCPJMF_02431	contig_1_pilon	2810924	2811640	+	717	1325	1060	4108
LGFCPJMF_02432	contig_1_pilon	2811665	2811880	-	216	3	11	24
LGFCPJMF_02433	contig_1_pilon	2811972	2812406	+	435	500	628	686
LGFCPJMF_02434	contig_1_pilon	2812413	2812610	-	198	7	13	0
LGFCPJMF_02435	contig_1_pilon	2812621	2813478	-	858	37	43	64
LGFCPJMF_02436	contig_1_pilon	2813611	2814069	+	459	95	181	221
LGFCPJMF_02437	contig_1_pilon	2814092	2814946	-	855	12	1	21
LGFCPJMF_02438	contig_1_pilon	2815204	2816577	+	1374	60	34	106
LGFCPJMF_02439	contig_1_pilon	2816623	2818122	-	1500	64	37	96
LGFCPJMF_02440	contig_1_pilon	2818119	2818856	-	738	59	47	48
LGFCPJMF_02441	contig_1_pilon	2819018	2819320	-	303	0	0	0
LGFCPJMF_02442	contig_1_pilon	2819580	2820725	-	1146	2	2	0
LGFCPJMF_02443	contig_1_pilon	2820859	2821929	-	1071	72	88	68
LGFCPJMF_02444	contig_1_pilon	2821954	2822793	-	840	47	38	72
LGFCPJMF_02445	contig_1_pilon	2823087	2823959	+	873	11	12	54
LGFCPJMF_02446	contig_1_pilon	2824042	2826006	-	1965	612	690	1169
LGFCPJMF_02447	contig_1_pilon	2826003	2827697	-	1695	867	985	1111
LGFCPJMF_02448	contig_1_pilon	2827963	2828226	+	264	17	8	17
LGFCPJMF_02449	contig_1_pilon	2828235	2829809	+	1575	191	91	262
LGFCPJMF_02450	contig_1_pilon	2829995	2830705	+	711	88	136	172
LGFCPJMF_02451	contig_1_pilon	2831214	2832059	+	846	1034	1303	2276
LGFCPJMF_02452	contig_1_pilon	2832115	2832402	+	288	243	199	393
LGFCPJMF_02453	contig_1_pilon	2832525	2832806	+	282	32	23	4
LGFCPJMF_02454	contig_1_pilon	2832853	2833218	-	366	14	7	24
LGFCPJMF_02455	contig_1_pilon	2833326	2833427	+	102	549	525	1249
LGFCPJMF_02456	contig_1_pilon	2833479	2834042	+	564	916	1013	754
LGFCPJMF_02457	contig_1_pilon	2834283	2835383	+	1101	10	7	45
LGFCPJMF_02458	contig_1_pilon	2835421	2836215	+	795	3	2	0
LGFCPJMF_02459	contig_1_pilon	2836224	2837264	+	1041	12	16	50
LGFCPJMF_02460	contig_1_pilon	2837323	2837802	+	480	144	213	260
LGFCPJMF_02461	contig_1_pilon	2837857	2838837	+	981	209	228	516
LGFCPJMF_02462	contig_1_pilon	2838878	2839312	-	435	18	26	0
LGFCPJMF_02463	contig_1_pilon	2839615	2840163	+	549	31	25	16
LGFCPJMF_02464	contig_1_pilon	2840221	2841201	+	981	37	44	190
LGFCPJMF_02465	contig_1_pilon	2841278	2842519	+	1242	82	64	196
LGFCPJMF_02466	contig_1_pilon	2842638	2843069	+	432	118	76	212
LGFCPJMF_02467	contig_1_pilon	2843202	2843768	+	567	36	48	10
LGFCPJMF_02468	contig_1_pilon	2843866	2844225	+	360	6	15	4
LGFCPJMF_02469	contig_1_pilon	2844260	2844475	-	216	2	19	0
LGFCPJMF_02470	contig_1_pilon	2844551	2845912	-	1362	8	4	0
LGFCPJMF_02471	contig_1_pilon	2846280	2847140	+	861	9	26	103
LGFCPJMF_02472	contig_1_pilon	2847124	2848158	+	1035	2	2	0
LGFCPJMF_02473	contig_1_pilon	2848143	2850533	-	2391	383	420	791
LGFCPJMF_02474	contig_1_pilon	2850696	2851109	-	414	257	176	390
LGFCPJMF_02476	contig_1_pilon	2851782	2852150	+	369	0	4	22
LGFCPJMF_02477	contig_1_pilon	2852906	2853466	+	561	4	13	0
LGFCPJMF_02478	contig_1_pilon	2853505	2853879	-	375	16	31	0
LGFCPJMF_02479	contig_1_pilon	2854071	2854451	-	381	4	8	2
LGFCPJMF_02480	contig_1_pilon	2854548	2855474	+	927	10	4	12
LGFCPJMF_02481	contig_1_pilon	2855964	2857187	+	1224	23	14	22
LGFCPJMF_02482	contig_1_pilon	2857500	2857925	+	426	529	749	547
LGFCPJMF_02483	contig_1_pilon	2857960	2858553	+	594	1205	1170	2462
LGFCPJMF_02484	contig_1_pilon	2858643	2858993	+	351	222	310	489
LGFCPJMF_02485	contig_1_pilon	2859063	2860388	-	1326	14	16	4
LGFCPJMF_02486	contig_1_pilon	2860764	2861954	-	1191	157	89	49
LGFCPJMF_02487	contig_1_pilon	2861994	2862116	-	123	0	4	0
LGFCPJMF_02488	contig_1_pilon	2862370	2863497	+	1128	5937	8249	10418
LGFCPJMF_02489	contig_1_pilon	2863597	2864592	+	996	1697	1843	2065
LGFCPJMF_02490	contig_1_pilon	2864589	2865668	+	1080	935	1347	1817
LGFCPJMF_02491	contig_1_pilon	2865707	2866483	+	777	785	1236	1087
LGFCPJMF_02492	contig_1_pilon	2866651	2867649	-	999	202	248	107
LGFCPJMF_02493	contig_1_pilon	2867656	2868276	-	621	515	720	466
LGFCPJMF_02494	contig_1_pilon	2868471	2868872	+	402	61	98	74
LGFCPJMF_02495	contig_1_pilon	2868930	2869118	-	189	186	161	184
LGFCPJMF_02496	contig_1_pilon	2869263	2870246	-	984	2	4	12
LGFCPJMF_02497	contig_1_pilon	2870760	2872346	+	1587	142	179	155
LGFCPJMF_02498	contig_1_pilon	2872371	2872598	+	228	0	8	25
LGFCPJMF_02499	contig_1_pilon	2872771	2873454	-	684	71	97	85
LGFCPJMF_02500	contig_1_pilon	2873679	2874683	-	1005	64	90	152
LGFCPJMF_02501	contig_1_pilon	2874777	2875208	-	432	20	13	64
LGFCPJMF_02502	contig_1_pilon	2875401	2876282	+	882	0	5	18
LGFCPJMF_02503	contig_1_pilon	2876292	2876492	+	201	2	6	9
LGFCPJMF_02504	contig_1_pilon	2876536	2876733	+	198	2	5	10
LGFCPJMF_02505	contig_1_pilon	2876775	2876996	+	222	20	17	0
LGFCPJMF_02506	contig_1_pilon	2877165	2877521	+	357	74	101	28
LGFCPJMF_02507	contig_1_pilon	2878113	2878958	+	846	63	98	63
LGFCPJMF_02508	contig_1_pilon	2878948	2880342	+	1395	79	99	324
LGFCPJMF_02509	contig_1_pilon	2880339	2881901	+	1563	108	98	150
LGFCPJMF_02510	contig_1_pilon	2881924	2883354	+	1431	71	136	122
LGFCPJMF_02511	contig_1_pilon	2883351	2884961	+	1611	59	34	128
LGFCPJMF_02512	contig_1_pilon	2885024	2885566	-	543	47	42	72
LGFCPJMF_02516	contig_1_pilon	2891778	2892800	+	1023	16	11	58
LGFCPJMF_02517	contig_1_pilon	2892896	2893705	-	810	82	68	143
LGFCPJMF_02518	contig_1_pilon	2894088	2894846	-	759	8	0	13
LGFCPJMF_02519	contig_1_pilon	2894843	2895946	-	1104	4	0	10
LGFCPJMF_02520	contig_1_pilon	2896158	2896538	+	381	17	2	2
LGFCPJMF_02521	contig_1_pilon	2896708	2898249	+	1542	12	2	10
LGFCPJMF_02522	contig_1_pilon	2898352	2899761	+	1410	27	29	44
LGFCPJMF_02523	contig_1_pilon	2899801	2900652	-	852	0	0	0
LGFCPJMF_02524	contig_1_pilon	2900721	2901161	+	441	3	6	0
LGFCPJMF_02525	contig_1_pilon	2901179	2901697	-	519	42	25	48
LGFCPJMF_02526	contig_1_pilon	2901794	2902540	+	747	2	2	0
LGFCPJMF_02527	contig_1_pilon	2902593	2902973	-	381	12	17	9
LGFCPJMF_02528	contig_1_pilon	2903133	2905508	+	2376	70	36	64
LGFCPJMF_02529	contig_1_pilon	2905542	2907422	-	1881	205	290	502
LGFCPJMF_02530	contig_1_pilon	2907556	2908185	-	630	18	8	8
LGFCPJMF_02531	contig_1_pilon	2908182	2908991	-	810	158	212	283
LGFCPJMF_02532	contig_1_pilon	2909052	2909984	-	933	28	18	72
LGFCPJMF_02533	contig_1_pilon	2910078	2910911	+	834	161	182	234
LGFCPJMF_02534	contig_1_pilon	2910962	2912806	-	1845	8	2	6
LGFCPJMF_02535	contig_1_pilon	2913029	2914471	+	1443	58	51	130
LGFCPJMF_02536	contig_1_pilon	2914777	2915835	+	1059	294	371	492
LGFCPJMF_02537	contig_1_pilon	2915940	2916938	-	999	64	42	77
LGFCPJMF_02538	contig_1_pilon	2917059	2917886	-	828	416	464	672
LGFCPJMF_02539	contig_1_pilon	2918116	2918700	+	585	14	20	24
LGFCPJMF_02540	contig_1_pilon	2918753	2919235	-	483	12	13	35
LGFCPJMF_02541	contig_1_pilon	2919441	2920391	+	951	21	6	38
LGFCPJMF_02542	contig_1_pilon	2920514	2921299	+	786	362	325	509
LGFCPJMF_02543	contig_1_pilon	2921287	2922144	+	858	407	376	614
LGFCPJMF_02544	contig_1_pilon	2922154	2922864	+	711	398	379	273
LGFCPJMF_02545	contig_1_pilon	2922873	2924174	+	1302	142	151	188
LGFCPJMF_02546	contig_1_pilon	2924223	2924678	-	456	221	198	514
LGFCPJMF_02547	contig_1_pilon	2924746	2925315	-	570	104	88	45
LGFCPJMF_02548	contig_1_pilon	2925431	2927044	-	1614	56	52	120
LGFCPJMF_02549	contig_1_pilon	2927184	2927789	+	606	59	71	173
LGFCPJMF_02550	contig_1_pilon	2927841	2928530	-	690	8	10	0
LGFCPJMF_02551	contig_1_pilon	2929108	2931720	+	2613	91	87	102
LGFCPJMF_02552	contig_1_pilon	2932065	2934584	-	2520	9682	12429	15889
LGFCPJMF_02553	contig_1_pilon	2935093	2935791	+	699	26	18	6
LGFCPJMF_02554	contig_1_pilon	2935722	2936069	-	348	279	530	264
LGFCPJMF_02555	contig_1_pilon	2936211	2936729	-	519	83	66	23
LGFCPJMF_02556	contig_1_pilon	2936739	2937194	-	456	182	237	223
LGFCPJMF_02557	contig_1_pilon	2937440	2937619	-	180	388	305	63
LGFCPJMF_02558	contig_1_pilon	2937666	2938292	-	627	206	124	392
LGFCPJMF_02559	contig_1_pilon	2938513	2939310	-	798	26	21	14
LGFCPJMF_02560	contig_1_pilon	2939316	2940332	-	1017	19	5	30
LGFCPJMF_02561	contig_1_pilon	2940329	2942170	-	1842	21	5	66
LGFCPJMF_02562	contig_1_pilon	2942167	2943192	-	1026	13	15	18
LGFCPJMF_02563	contig_1_pilon	2943189	2944166	-	978	22	5	7
LGFCPJMF_02564	contig_1_pilon	2944447	2944647	-	201	0	0	0
LGFCPJMF_02565	contig_1_pilon	2945092	2946210	+	1119	34	38	48
LGFCPJMF_02566	contig_1_pilon	2946238	2946948	-	711	151	170	190
LGFCPJMF_02567	contig_1_pilon	2947171	2948208	-	1038	211	206	317
LGFCPJMF_02568	contig_1_pilon	2948321	2949007	-	687	28	52	62
LGFCPJMF_02569	contig_1_pilon	2949225	2950436	-	1212	32	30	66
LGFCPJMF_02570	contig_1_pilon	2950605	2951624	+	1020	22	17	68
LGFCPJMF_02571	contig_1_pilon	2951662	2952804	+	1143	148	186	92
LGFCPJMF_02572	contig_1_pilon	2952832	2953392	-	561	14	2	23
LGFCPJMF_02573	contig_1_pilon	2953550	2954251	-	702	14	22	101
LGFCPJMF_02574	contig_1_pilon	2954292	2954915	-	624	0	2	12
LGFCPJMF_02575	contig_1_pilon	2955016	2955525	+	510	2	2	0
LGFCPJMF_02576	contig_1_pilon	2955527	2956075	-	549	14	24	40
LGFCPJMF_02577	contig_1_pilon	2956180	2957439	+	1260	0	0	2
LGFCPJMF_02578	contig_1_pilon	2957551	2958960	-	1410	232	115	373
LGFCPJMF_02579	contig_1_pilon	2959079	2960122	-	1044	228	193	312
LGFCPJMF_02580	contig_1_pilon	2960282	2961010	-	729	26	30	34
LGFCPJMF_02581	contig_1_pilon	2961014	2961748	-	735	45	49	84
LGFCPJMF_02582	contig_1_pilon	2961902	2963125	+	1224	145	116	176
LGFCPJMF_02583	contig_1_pilon	2963191	2963682	-	492	100	111	297
