# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "15" "-p" "-s" "2" "-a" "assembly/R7.gff" "-t" "CDS" "-g" "ID" "-o" "R7/featureCount_R7.txt" "R7/R7_rep1_rna_map.sorted.bam" "R7/R7_rep2_rna_map.sorted.bam" "R7/R7_rep3_rna_map.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	R7/R7_rep1_rna_map.sorted.bam	R7/R7_rep2_rna_map.sorted.bam	R7/R7_rep3_rna_map.sorted.bam
PAOEAKHP_02054	contig_2_pilon	2340430	2341509	-	1080	5	15	6
PAOEAKHP_02055	contig_2_pilon	2341548	2342366	-	819	34	27	24
PAOEAKHP_02056	contig_2_pilon	2342366	2343670	-	1305	51	69	103
PAOEAKHP_02057	contig_2_pilon	2343951	2344184	-	234	0	0	0
PAOEAKHP_02058	contig_2_pilon	2344193	2345002	-	810	0	2	6
PAOEAKHP_02059	contig_2_pilon	2345256	2345687	-	432	0	0	0
PAOEAKHP_02060	contig_2_pilon	2345897	2346142	-	246	0	0	0
PAOEAKHP_02061	contig_2_pilon	2346229	2346882	-	654	0	3	2
PAOEAKHP_02062	contig_2_pilon	2347010	2348533	-	1524	2	3	4
PAOEAKHP_02063	contig_2_pilon	2348544	2348909	-	366	0	0	2
PAOEAKHP_02064	contig_2_pilon	2349231	2349863	+	633	5	2	9
PAOEAKHP_02065	contig_2_pilon	2349909	2351165	-	1257	0	6	0
PAOEAKHP_02066	contig_2_pilon	2351146	2352081	-	936	2	0	3
PAOEAKHP_02067	contig_2_pilon	2352091	2352843	-	753	0	2	2
PAOEAKHP_02068	contig_2_pilon	2352840	2353808	-	969	2	2	3
PAOEAKHP_02069	contig_2_pilon	2353918	2354490	-	573	0	0	1
PAOEAKHP_02070	contig_2_pilon	2354743	2355663	-	921	0	0	0
PAOEAKHP_02071	contig_2_pilon	2355759	2356463	+	705	9	13	8
PAOEAKHP_02072	contig_2_pilon	2356466	2358415	+	1950	52	82	64
PAOEAKHP_02073	contig_2_pilon	2358412	2359158	+	747	14	11	4
PAOEAKHP_02074	contig_2_pilon	2359202	2359969	-	768	4	2	13
PAOEAKHP_02075	contig_2_pilon	2360546	2361301	-	756	2	8	12
PAOEAKHP_02076	contig_2_pilon	2361298	2361693	-	396	0	0	0
PAOEAKHP_02077	contig_2_pilon	2361690	2362415	-	726	6	0	4
PAOEAKHP_02078	contig_2_pilon	2362427	2363074	-	648	8	6	12
PAOEAKHP_02079	contig_2_pilon	2363071	2363235	-	165	0	2	2
PAOEAKHP_02080	contig_2_pilon	2363232	2363825	-	594	8	2	4
PAOEAKHP_02081	contig_2_pilon	2363822	2364937	-	1116	2	0	10
PAOEAKHP_02082	contig_2_pilon	2364946	2366268	-	1323	2	0	10
PAOEAKHP_02083	contig_2_pilon	2366576	2368180	+	1605	311	299	270
PAOEAKHP_02084	contig_2_pilon	2368307	2369119	+	813	35	36	36
PAOEAKHP_02085	contig_2_pilon	2369200	2369730	+	531	5	12	4
PAOEAKHP_02086	contig_2_pilon	2369977	2370834	-	858	6	0	4
PAOEAKHP_02087	contig_2_pilon	2370831	2371703	-	873	8	0	0
PAOEAKHP_02088	contig_2_pilon	2371700	2372707	-	1008	0	4	0
PAOEAKHP_02089	contig_2_pilon	2373333	2374637	-	1305	0	0	4
PAOEAKHP_02090	contig_2_pilon	2374911	2375087	+	177	2	6	2
PAOEAKHP_02091	contig_2_pilon	2375254	2378796	-	3543	4	0	4
PAOEAKHP_02092	contig_2_pilon	2378983	2380326	+	1344	36	28	22
PAOEAKHP_02093	contig_2_pilon	2380454	2381113	+	660	0	11	14
PAOEAKHP_02094	contig_2_pilon	2381176	2382018	+	843	14	29	25
PAOEAKHP_02095	contig_2_pilon	2382145	2382846	+	702	18	12	24
PAOEAKHP_02096	contig_2_pilon	2382891	2383769	+	879	26	30	51
PAOEAKHP_02097	contig_2_pilon	2383864	2385528	+	1665	24	21	42
PAOEAKHP_02098	contig_2_pilon	2385554	2386207	-	654	0	0	0
PAOEAKHP_02099	contig_2_pilon	2386267	2387388	+	1122	71	68	72
PAOEAKHP_02100	contig_2_pilon	2387411	2389012	-	1602	10	2	4
PAOEAKHP_02101	contig_2_pilon	2389150	2390091	-	942	0	2	4
PAOEAKHP_02102	contig_2_pilon	2390162	2390806	-	645	0	0	8
PAOEAKHP_02103	contig_2_pilon	2390964	2391839	-	876	0	0	1
PAOEAKHP_02104	contig_2_pilon	2392444	2395584	+	3141	184	103	143
PAOEAKHP_02105	contig_2_pilon	2395991	2397118	-	1128	93	86	107
PAOEAKHP_02106	contig_2_pilon	2397168	2397461	-	294	194	175	211
PAOEAKHP_02107	contig_2_pilon	2397533	2398153	-	621	322	420	324
PAOEAKHP_02108	contig_2_pilon	2398278	2399009	-	732	92	176	93
PAOEAKHP_02109	contig_2_pilon	2399006	2399761	-	756	135	170	160
PAOEAKHP_02110	contig_2_pilon	2399775	2401004	-	1230	427	363	338
PAOEAKHP_02111	contig_2_pilon	2401279	2402145	-	867	36	35	31
PAOEAKHP_02112	contig_2_pilon	2402206	2403291	-	1086	5	0	9
PAOEAKHP_02113	contig_2_pilon	2403298	2404638	-	1341	2	9	0
PAOEAKHP_02114	contig_2_pilon	2404700	2406130	-	1431	10	43	6
PAOEAKHP_02115	contig_2_pilon	2406127	2407200	-	1074	36	28	65
PAOEAKHP_02116	contig_2_pilon	2407197	2408630	-	1434	145	137	134
PAOEAKHP_02117	contig_2_pilon	2408693	2410405	-	1713	57	94	65
PAOEAKHP_02118	contig_2_pilon	2410423	2412678	-	2256	54	58	59
PAOEAKHP_02119	contig_2_pilon	2412675	2412782	-	108	0	0	0
PAOEAKHP_02120	contig_2_pilon	2412787	2413383	-	597	4	4	8
PAOEAKHP_02121	contig_2_pilon	2413380	2414339	-	960	15	15	11
PAOEAKHP_02122	contig_2_pilon	2414833	2415390	+	558	13	12	32
PAOEAKHP_02123	contig_2_pilon	2415748	2416806	+	1059	56	19	118
PAOEAKHP_02124	contig_2_pilon	2416806	2418410	+	1605	21	6	28
PAOEAKHP_02125	contig_2_pilon	2418507	2421053	+	2547	77	54	98
PAOEAKHP_02126	contig_2_pilon	2421563	2421976	-	414	211	213	255
PAOEAKHP_02127	contig_2_pilon	2422236	2422991	-	756	319	416	394
PAOEAKHP_02128	contig_2_pilon	2423116	2423601	-	486	9243	7844	9544
PAOEAKHP_02129	contig_2_pilon	2423828	2424598	+	771	145	119	391
PAOEAKHP_02130	contig_2_pilon	2424570	2426777	+	2208	258	120	498
PAOEAKHP_02131	contig_2_pilon	2426774	2427424	+	651	62	16	122
PAOEAKHP_02132	contig_2_pilon	2427792	2428427	+	636	26	14	80
PAOEAKHP_02133	contig_2_pilon	2428506	2430092	+	1587	92	115	192
PAOEAKHP_02134	contig_2_pilon	2430136	2431197	-	1062	717	911	871
PAOEAKHP_02135	contig_2_pilon	2431249	2432166	-	918	6075	5362	5626
PAOEAKHP_02136	contig_2_pilon	2432296	2432946	-	651	800	979	1114
PAOEAKHP_02137	contig_2_pilon	2433087	2433452	-	366	1510	1413	1667
PAOEAKHP_02139	contig_2_pilon	2435122	2436399	+	1278	26	19	33
PAOEAKHP_02140	contig_2_pilon	2436396	2436614	+	219	0	0	7
PAOEAKHP_02141	contig_2_pilon	2436623	2437417	+	795	126	123	125
PAOEAKHP_02142	contig_2_pilon	2437602	2439608	+	2007	184	246	273
PAOEAKHP_02143	contig_2_pilon	2439721	2440611	+	891	42	15	72
PAOEAKHP_02144	contig_2_pilon	2440633	2441109	+	477	9	16	29
PAOEAKHP_02145	contig_2_pilon	2441162	2441794	-	633	140	45	218
PAOEAKHP_02146	contig_2_pilon	2441941	2442420	+	480	912	1303	1368
PAOEAKHP_02147	contig_2_pilon	2442482	2442793	-	312	74	63	98
PAOEAKHP_02148	contig_2_pilon	2442939	2444288	-	1350	20	35	54
PAOEAKHP_02149	contig_2_pilon	2444404	2445786	-	1383	609	709	661
PAOEAKHP_02150	contig_2_pilon	2445913	2446734	+	822	16	2	32
PAOEAKHP_02151	contig_2_pilon	2446898	2448823	+	1926	18	11	18
PAOEAKHP_02152	contig_2_pilon	2448789	2449805	-	1017	213	268	239
PAOEAKHP_02153	contig_2_pilon	2449995	2451023	-	1029	34	24	27
PAOEAKHP_02154	contig_2_pilon	2451265	2451936	-	672	64	132	133
PAOEAKHP_02155	contig_2_pilon	2451933	2453249	-	1317	444	419	516
PAOEAKHP_02156	contig_2_pilon	2453279	2454058	-	780	357	435	447
PAOEAKHP_02157	contig_2_pilon	2454295	2455092	+	798	30	2	5
PAOEAKHP_02158	contig_2_pilon	2455079	2455798	+	720	59	18	60
PAOEAKHP_02159	contig_2_pilon	2455930	2457207	+	1278	671	687	758
PAOEAKHP_02160	contig_2_pilon	2457212	2457916	-	705	0	3	9
PAOEAKHP_02161	contig_2_pilon	2458016	2458957	-	942	60	92	111
PAOEAKHP_02162	contig_2_pilon	2459057	2459608	-	552	111	140	131
PAOEAKHP_02163	contig_2_pilon	2459707	2460915	-	1209	33	54	82
PAOEAKHP_02164	contig_2_pilon	2460918	2461394	-	477	0	0	2
PAOEAKHP_02165	contig_2_pilon	2461535	2462311	-	777	1	0	2
PAOEAKHP_02166	contig_2_pilon	2462595	2464391	+	1797	85	111	58
PAOEAKHP_02167	contig_2_pilon	2464477	2465619	-	1143	301	320	391
PAOEAKHP_02168	contig_2_pilon	2465768	2467186	+	1419	29	61	32
PAOEAKHP_02169	contig_2_pilon	2467143	2468438	-	1296	17	33	16
PAOEAKHP_02170	contig_2_pilon	2468461	2469489	-	1029	154	147	144
PAOEAKHP_02171	contig_2_pilon	2469725	2470759	-	1035	144	111	137
PAOEAKHP_02172	contig_2_pilon	2471222	2472598	-	1377	722	664	680
PAOEAKHP_02173	contig_2_pilon	2472630	2472869	-	240	113	170	168
PAOEAKHP_02174	contig_2_pilon	2473078	2473863	+	786	9100	7544	7413
PAOEAKHP_02175	contig_2_pilon	2473860	2474141	+	282	98	61	95
PAOEAKHP_02176	contig_2_pilon	2474289	2475668	-	1380	5267	5705	5999
PAOEAKHP_02178	contig_2_pilon	2477253	2478890	-	1638	302	356	412
PAOEAKHP_02179	contig_2_pilon	2478887	2479951	-	1065	210	218	225
PAOEAKHP_02180	contig_2_pilon	2479948	2480757	-	810	217	196	213
PAOEAKHP_02181	contig_2_pilon	2480837	2481457	-	621	56	52	88
PAOEAKHP_02182	contig_2_pilon	2481756	2482157	+	402	0	0	0
PAOEAKHP_02183	contig_2_pilon	2482189	2483463	-	1275	75	116	130
PAOEAKHP_02184	contig_2_pilon	2483571	2483969	-	399	102	65	80
PAOEAKHP_02185	contig_2_pilon	2483966	2485696	-	1731	8	44	49
PAOEAKHP_02186	contig_2_pilon	2485693	2486616	-	924	0	2	4
PAOEAKHP_02187	contig_2_pilon	2486868	2488325	+	1458	100	149	208
PAOEAKHP_02188	contig_2_pilon	2488373	2489347	-	975	12	36	31
PAOEAKHP_02189	contig_2_pilon	2489489	2489734	+	246	0	0	8
PAOEAKHP_02190	contig_2_pilon	2489834	2491345	+	1512	20	32	27
PAOEAKHP_02191	contig_2_pilon	2491445	2491798	-	354	68	85	85
PAOEAKHP_02192	contig_2_pilon	2492139	2493317	+	1179	18	2	8
PAOEAKHP_02193	contig_2_pilon	2493490	2493744	+	255	0	0	0
PAOEAKHP_02194	contig_2_pilon	2493741	2493992	+	252	0	1	0
PAOEAKHP_02195	contig_2_pilon	2494076	2497240	-	3165	78	117	89
PAOEAKHP_02196	contig_2_pilon	2497481	2498167	-	687	0	0	2
PAOEAKHP_02197	contig_2_pilon	2498164	2499486	-	1323	350	274	306
PAOEAKHP_02198	contig_2_pilon	2499732	2500010	-	279	986	780	933
PAOEAKHP_02199	contig_2_pilon	2500080	2500868	-	789	2167	1881	1999
PAOEAKHP_02200	contig_2_pilon	2501186	2501782	+	597	67	32	128
PAOEAKHP_02201	contig_2_pilon	2501869	2502597	+	729	91	50	133
PAOEAKHP_02202	contig_2_pilon	2502721	2504568	+	1848	6406	6820	7011
PAOEAKHP_02203	contig_2_pilon	2504584	2505678	+	1095	49	37	78
PAOEAKHP_02204	contig_2_pilon	2505830	2506039	-	210	36	52	61
PAOEAKHP_02205	contig_2_pilon	2506538	2507806	+	1269	19	32	88
PAOEAKHP_02206	contig_2_pilon	2508060	2508833	+	774	8	14	24
PAOEAKHP_02207	contig_2_pilon	2508844	2509890	+	1047	4	9	12
PAOEAKHP_02208	contig_2_pilon	2509983	2511749	+	1767	0	17	8
PAOEAKHP_02209	contig_2_pilon	2511746	2512441	+	696	0	8	30
PAOEAKHP_02210	contig_2_pilon	2512519	2513256	-	738	131	113	169
PAOEAKHP_02211	contig_2_pilon	2513334	2514146	+	813	4	5	14
PAOEAKHP_02212	contig_2_pilon	2514184	2514381	+	198	0	10	6
PAOEAKHP_02213	contig_2_pilon	2514402	2515271	-	870	32	43	125
PAOEAKHP_02214	contig_2_pilon	2515268	2515963	-	696	26	2	31
PAOEAKHP_02215	contig_2_pilon	2516473	2517936	-	1464	6718	6638	8555
PAOEAKHP_02216	contig_2_pilon	2517933	2519513	-	1581	74	88	81
PAOEAKHP_02217	contig_2_pilon	2520049	2522187	-	2139	896	724	915
PAOEAKHP_02218	contig_2_pilon	2522503	2524047	+	1545	27	12	44
PAOEAKHP_02219	contig_2_pilon	2524394	2525782	+	1389	861	1024	960
PAOEAKHP_02220	contig_2_pilon	2525836	2527665	+	1830	31	17	43
PAOEAKHP_02221	contig_2_pilon	2527840	2528463	+	624	16	10	7
PAOEAKHP_02222	contig_2_pilon	2528890	2531550	+	2661	15	18	14
PAOEAKHP_02223	contig_2_pilon	2531772	2532743	+	972	0	0	6
PAOEAKHP_02224	contig_2_pilon	2532847	2533794	-	948	15	49	41
PAOEAKHP_02225	contig_2_pilon	2534038	2534556	+	519	368	406	544
PAOEAKHP_02226	contig_2_pilon	2534615	2535106	-	492	33	4	44
PAOEAKHP_02227	contig_2_pilon	2535109	2536095	+	987	557	616	664
PAOEAKHP_02228	contig_2_pilon	2536905	2538131	+	1227	128	143	137
PAOEAKHP_02229	contig_2_pilon	2538216	2539778	-	1563	8	2	10
PAOEAKHP_02230	contig_2_pilon	2540140	2540955	+	816	26	19	17
PAOEAKHP_02231	contig_2_pilon	2541112	2542062	+	951	6	5	3
PAOEAKHP_02232	contig_2_pilon	2542287	2542505	+	219	4	6	2
PAOEAKHP_02233	contig_2_pilon	2542516	2543229	+	714	0	0	10
PAOEAKHP_02234	contig_2_pilon	2543706	2544197	-	492	649	576	736
PAOEAKHP_02235	contig_2_pilon	2544573	2545982	+	1410	48	2	92
PAOEAKHP_02236	contig_2_pilon	2546094	2546411	-	318	24	12	23
PAOEAKHP_02237	contig_2_pilon	2546572	2548893	+	2322	42	50	53
PAOEAKHP_02238	contig_2_pilon	2549099	2549422	-	324	6	9	6
PAOEAKHP_02239	contig_2_pilon	2549561	2550223	-	663	8	17	22
PAOEAKHP_02240	contig_2_pilon	2550220	2552025	-	1806	44	27	53
PAOEAKHP_02241	contig_2_pilon	2552022	2552750	-	729	14	0	6
PAOEAKHP_02242	contig_2_pilon	2553028	2554572	-	1545	2	6	4
PAOEAKHP_02243	contig_2_pilon	2554757	2555746	-	990	2	0	7
PAOEAKHP_02244	contig_2_pilon	2555962	2556435	+	474	120	104	109
PAOEAKHP_02245	contig_2_pilon	2556450	2557367	-	918	24	53	68
PAOEAKHP_02246	contig_2_pilon	2557673	2558602	+	930	48	34	51
PAOEAKHP_02247	contig_2_pilon	2558641	2558922	+	282	17	41	10
PAOEAKHP_02248	contig_2_pilon	2558994	2559620	+	627	145	144	194
PAOEAKHP_02249	contig_2_pilon	2559867	2560490	+	624	59	38	66
PAOEAKHP_02250	contig_2_pilon	2560466	2561395	-	930	505	743	866
PAOEAKHP_02251	contig_2_pilon	2561392	2562192	-	801	37823	42058	37219
PAOEAKHP_02252	contig_2_pilon	2562412	2563707	+	1296	26	36	80
PAOEAKHP_02253	contig_2_pilon	2563671	2564318	+	648	0	0	12
PAOEAKHP_02254	contig_2_pilon	2564428	2564673	+	246	4	2	26
PAOEAKHP_02255	contig_2_pilon	2564781	2566775	+	1995	235	182	497
PAOEAKHP_02256	contig_2_pilon	2566855	2567787	+	933	42	25	77
PAOEAKHP_02257	contig_2_pilon	2567789	2568883	+	1095	16	18	49
PAOEAKHP_02258	contig_2_pilon	2569004	2569720	+	717	18	35	98
PAOEAKHP_02259	contig_2_pilon	2570079	2570420	+	342	27	5	56
PAOEAKHP_02260	contig_2_pilon	2570500	2571111	+	612	24	46	108
PAOEAKHP_02261	contig_2_pilon	2571487	2574120	-	2634	1446	1170	1245
PAOEAKHP_02262	contig_2_pilon	2574167	2575579	-	1413	582	510	600
PAOEAKHP_02263	contig_2_pilon	2575718	2576926	-	1209	429	483	511
PAOEAKHP_02264	contig_2_pilon	2577125	2577784	+	660	235	270	352
PAOEAKHP_02265	contig_2_pilon	2577735	2578256	-	522	7	0	13
PAOEAKHP_02266	contig_2_pilon	2578411	2579241	+	831	251	291	342
PAOEAKHP_02267	contig_2_pilon	2579238	2579426	+	189	39	27	39
PAOEAKHP_02268	contig_2_pilon	2579492	2580049	+	558	12	11	19
PAOEAKHP_02269	contig_2_pilon	2580059	2580799	+	741	1212	251	2776
PAOEAKHP_02270	contig_2_pilon	2580765	2581430	-	666	30596	37476	44803
PAOEAKHP_02271	contig_2_pilon	2581820	2582560	+	741	6635	1825	11689
PAOEAKHP_02272	contig_2_pilon	2582622	2583323	+	702	7360	2375	12532
PAOEAKHP_02273	contig_2_pilon	2583286	2584431	-	1146	796422	767858	649412
PAOEAKHP_02274	contig_2_pilon	2584416	2586020	-	1605	89521	90245	213269
PAOEAKHP_02275	contig_2_pilon	2586022	2586861	-	840	1873	1696	1466
PAOEAKHP_02276	contig_2_pilon	2586861	2587847	-	987	1403	1606	1290
PAOEAKHP_02277	contig_2_pilon	2587844	2589112	-	1269	2736	2881	2678
PAOEAKHP_02278	contig_2_pilon	2589467	2591074	+	1608	1319	1879	1720
PAOEAKHP_02279	contig_2_pilon	2591170	2592240	+	1071	97	80	112
PAOEAKHP_02280	contig_2_pilon	2592336	2593172	+	837	8	14	11
PAOEAKHP_02281	contig_2_pilon	2593198	2596233	-	3036	7737	8567	7365
PAOEAKHP_02282	contig_2_pilon	2596230	2597591	-	1362	1361	1543	1186
PAOEAKHP_02283	contig_2_pilon	2597890	2598507	+	618	2	13	12
PAOEAKHP_02284	contig_2_pilon	2598540	2599442	-	903	10	13	28
PAOEAKHP_02285	contig_2_pilon	2599439	2600143	-	705	2	2	0
PAOEAKHP_02286	contig_2_pilon	2600255	2600755	+	501	131	107	144
PAOEAKHP_02287	contig_2_pilon	2600850	2602475	+	1626	239	192	291
PAOEAKHP_02288	contig_2_pilon	2602564	2604318	+	1755	130	133	132
PAOEAKHP_02289	contig_2_pilon	2604375	2604821	-	447	4	7	15
PAOEAKHP_02290	contig_2_pilon	2605086	2606300	-	1215	0	0	6
PAOEAKHP_02291	contig_2_pilon	2606562	2607584	-	1023	0	0	10
PAOEAKHP_02292	contig_2_pilon	2607795	2608460	-	666	0	2	0
PAOEAKHP_02293	contig_2_pilon	2608457	2610076	-	1620	24	10	17
PAOEAKHP_02294	contig_2_pilon	2610292	2611209	+	918	18	12	16
PAOEAKHP_02295	contig_2_pilon	2611307	2611636	-	330	87	68	44
PAOEAKHP_02296	contig_2_pilon	2611629	2612378	-	750	46	24	5
PAOEAKHP_02297	contig_2_pilon	2612441	2612899	+	459	11	21	6
PAOEAKHP_02298	contig_2_pilon	2612987	2614042	+	1056	139	128	164
PAOEAKHP_02299	contig_2_pilon	2614039	2614881	+	843	68	89	81
PAOEAKHP_02300	contig_2_pilon	2614906	2618250	-	3345	332	263	240
PAOEAKHP_02301	contig_2_pilon	2618468	2619280	+	813	19	24	16
PAOEAKHP_02302	contig_2_pilon	2619382	2619516	-	135	106	75	121
PAOEAKHP_02303	contig_2_pilon	2619556	2620794	-	1239	1160	785	1114
PAOEAKHP_02304	contig_2_pilon	2620791	2620919	-	129	126	75	67
PAOEAKHP_02305	contig_2_pilon	2621275	2622441	+	1167	104	33	154
PAOEAKHP_02306	contig_2_pilon	2622453	2622650	-	198	173	153	83
PAOEAKHP_02307	contig_2_pilon	2622793	2623098	-	306	260	194	178
PAOEAKHP_02308	contig_2_pilon	2623206	2623955	-	750	1987	1880	2175
PAOEAKHP_02309	contig_2_pilon	2623969	2624889	-	921	7735	6201	6335
PAOEAKHP_02310	contig_2_pilon	2624886	2625869	-	984	308	339	361
PAOEAKHP_02311	contig_2_pilon	2625866	2627248	-	1383	320	431	437
PAOEAKHP_02312	contig_2_pilon	2627245	2628396	-	1152	8	6	4
PAOEAKHP_02313	contig_2_pilon	2628570	2629343	+	774	845	739	842
PAOEAKHP_02314	contig_2_pilon	2629499	2630008	+	510	52	63	55
PAOEAKHP_02315	contig_2_pilon	2630097	2630333	-	237	4	0	7
PAOEAKHP_02316	contig_2_pilon	2630401	2631258	+	858	334	308	323
PAOEAKHP_02317	contig_2_pilon	2631480	2632169	+	690	413	408	407
PAOEAKHP_02318	contig_2_pilon	2632174	2632866	-	693	295	293	275
PAOEAKHP_02319	contig_2_pilon	2633088	2634695	-	1608	805	1030	1147
PAOEAKHP_02320	contig_2_pilon	2634742	2636181	-	1440	3316	2876	3540
PAOEAKHP_02321	contig_2_pilon	2636321	2637403	+	1083	145	60	172
PAOEAKHP_02322	contig_2_pilon	2637405	2638505	+	1101	18	14	14
PAOEAKHP_02323	contig_2_pilon	2638502	2639485	+	984	117	38	374
PAOEAKHP_02324	contig_2_pilon	2639535	2640692	+	1158	69	28	149
PAOEAKHP_02325	contig_2_pilon	2640712	2642064	+	1353	2	24	9
PAOEAKHP_02326	contig_2_pilon	2642097	2643095	+	999	8	39	23
PAOEAKHP_02327	contig_2_pilon	2643046	2643945	+	900	0	0	14
PAOEAKHP_02328	contig_2_pilon	2643973	2644716	-	744	348	384	409
PAOEAKHP_02329	contig_2_pilon	2644945	2645541	-	597	93	120	91
PAOEAKHP_02330	contig_2_pilon	2645675	2645863	+	189	0	0	0
PAOEAKHP_02331	contig_2_pilon	2645970	2646806	+	837	15	8	25
PAOEAKHP_02332	contig_2_pilon	2646822	2647796	-	975	3890	3974	3777
PAOEAKHP_02333	contig_2_pilon	2647853	2648950	-	1098	1103	1177	1249
PAOEAKHP_02334	contig_2_pilon	2649007	2650326	-	1320	981	910	1167
PAOEAKHP_02335	contig_2_pilon	2650461	2652140	-	1680	482	444	442
PAOEAKHP_02336	contig_2_pilon	2652336	2653238	+	903	22	14	31
PAOEAKHP_02337	contig_2_pilon	2653295	2654071	+	777	20	13	32
PAOEAKHP_02338	contig_2_pilon	2654267	2655328	+	1062	4	0	4
PAOEAKHP_02339	contig_2_pilon	2655757	2656644	+	888	5	6	28
PAOEAKHP_02340	contig_2_pilon	2656710	2658872	+	2163	8	8	40
PAOEAKHP_02341	contig_2_pilon	2659228	2659728	-	501	32	91	42
PAOEAKHP_02342	contig_2_pilon	2659879	2660142	+	264	25	39	44
PAOEAKHP_02343	contig_2_pilon	2660186	2660401	-	216	6	17	13
PAOEAKHP_02344	contig_2_pilon	2660398	2661237	-	840	22	33	37
PAOEAKHP_02345	contig_2_pilon	2661433	2661819	+	387	0	0	0
PAOEAKHP_02346	contig_2_pilon	2661831	2662718	+	888	4	6	0
PAOEAKHP_02347	contig_2_pilon	2662731	2663867	+	1137	1073	1091	1238
PAOEAKHP_02348	contig_2_pilon	2664087	2665373	-	1287	8	8	64
PAOEAKHP_02349	contig_2_pilon	2665343	2665804	-	462	9	10	6
PAOEAKHP_02350	contig_2_pilon	2665869	2666276	+	408	0	0	4
PAOEAKHP_02351	contig_2_pilon	2666738	2666977	+	240	2	0	2
PAOEAKHP_02352	contig_2_pilon	2666967	2667248	+	282	0	2	4
PAOEAKHP_02353	contig_2_pilon	2667344	2667856	+	513	0	2	0
PAOEAKHP_02354	contig_2_pilon	2667849	2668160	+	312	1	2	4
PAOEAKHP_02355	contig_2_pilon	2668351	2669685	+	1335	0	0	2
PAOEAKHP_02356	contig_2_pilon	2669682	2670038	+	357	0	0	0
PAOEAKHP_02357	contig_2_pilon	2670038	2670280	+	243	0	0	0
PAOEAKHP_02358	contig_2_pilon	2670277	2670516	+	240	0	0	0
PAOEAKHP_02359	contig_2_pilon	2670513	2670689	+	177	0	0	0
PAOEAKHP_02360	contig_2_pilon	2670686	2670919	+	234	0	0	0
PAOEAKHP_02361	contig_2_pilon	2670916	2671347	+	432	0	4	0
PAOEAKHP_02362	contig_2_pilon	2671344	2671949	+	606	0	0	4
PAOEAKHP_02363	contig_2_pilon	2671946	2672161	+	216	0	0	0
PAOEAKHP_02364	contig_2_pilon	2672154	2672612	+	459	0	0	0
PAOEAKHP_02365	contig_2_pilon	2672609	2673502	+	894	0	2	1
PAOEAKHP_02366	contig_2_pilon	2673499	2674332	+	834	0	0	0
PAOEAKHP_02367	contig_2_pilon	2674329	2674613	+	285	0	0	0
PAOEAKHP_02368	contig_2_pilon	2674610	2674888	+	279	0	0	0
PAOEAKHP_02369	contig_2_pilon	2674885	2675079	+	195	0	0	0
PAOEAKHP_02370	contig_2_pilon	2675076	2675462	+	387	2	0	0
PAOEAKHP_02371	contig_2_pilon	2675459	2676250	+	792	5	10	6
PAOEAKHP_02372	contig_2_pilon	2676247	2676648	+	402	0	0	12
PAOEAKHP_02373	contig_2_pilon	2676645	2676935	+	291	0	0	2
PAOEAKHP_02374	contig_2_pilon	2676981	2677328	+	348	0	0	2
PAOEAKHP_02375	contig_2_pilon	2677364	2678347	+	984	0	2	2
PAOEAKHP_02376	contig_2_pilon	2678344	2679051	+	708	3	2	4
PAOEAKHP_02377	contig_2_pilon	2679048	2679359	+	312	3	5	10
PAOEAKHP_02378	contig_2_pilon	2679356	2679565	+	210	3	0	8
PAOEAKHP_02379	contig_2_pilon	2679562	2680221	+	660	0	2	3
PAOEAKHP_02380	contig_2_pilon	2680218	2680451	+	234	0	0	0
PAOEAKHP_02381	contig_2_pilon	2680448	2680678	+	231	0	0	0
PAOEAKHP_02382	contig_2_pilon	2680671	2681255	+	585	0	0	3
PAOEAKHP_02383	contig_2_pilon	2681255	2681413	+	159	1	0	0
PAOEAKHP_02384	contig_2_pilon	2681413	2681529	+	117	0	0	0
PAOEAKHP_02385	contig_2_pilon	2681665	2681952	+	288	0	0	1
PAOEAKHP_02386	contig_2_pilon	2681942	2682721	+	780	0	2	6
PAOEAKHP_02387	contig_2_pilon	2682726	2683034	+	309	0	0	0
PAOEAKHP_02388	contig_2_pilon	2683131	2684123	+	993	8	2	8
PAOEAKHP_02389	contig_2_pilon	2684251	2684595	+	345	4	0	4
PAOEAKHP_02390	contig_2_pilon	2684644	2685423	-	780	4	26	24
PAOEAKHP_02391	contig_2_pilon	2685739	2686230	+	492	124	72	85
PAOEAKHP_02392	contig_2_pilon	2686284	2686625	+	342	11	27	55
PAOEAKHP_02393	contig_2_pilon	2687204	2687434	-	231	51	45	38
PAOEAKHP_02394	contig_2_pilon	2687606	2688028	+	423	341	317	329
PAOEAKHP_02395	contig_2_pilon	2688025	2688363	+	339	117	105	81
PAOEAKHP_02396	contig_2_pilon	2688360	2688608	+	249	57	71	99
PAOEAKHP_02397	contig_2_pilon	2688671	2690116	+	1446	54	96	90
PAOEAKHP_02398	contig_2_pilon	2690118	2690285	+	168	1	0	4
PAOEAKHP_02399	contig_2_pilon	2690533	2690913	+	381	1	2	2
PAOEAKHP_02400	contig_2_pilon	2690910	2691410	+	501	2	2	2
PAOEAKHP_02401	contig_2_pilon	2691407	2692258	+	852	2	0	0
PAOEAKHP_02402	contig_2_pilon	2692405	2692554	+	150	0	0	0
