# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "15" "-p" "-s" "2" "-a" "assembly/HP126.gff" "-t" "CDS" "-g" "ID" "-o" "HP126/featureCount_HP126.txt" "HP126/HP126_rep1_rna_map.sorted.bam" "HP126/HP126_rep2_rna_map.sorted.bam" "HP126/HP126_rep3_rna_map.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	HP126/HP126_rep1_rna_map.sorted.bam	HP126/HP126_rep2_rna_map.sorted.bam	HP126/HP126_rep3_rna_map.sorted.bam
GIOHHFHI_01246	contig_1_pilon	1467541	1468950	-	1410	36	52	28
GIOHHFHI_01247	contig_1_pilon	1468969	1469709	-	741	68	40	43
GIOHHFHI_01248	contig_1_pilon	1470046	1470831	+	786	237	174	295
GIOHHFHI_01249	contig_1_pilon	1470887	1471795	+	909	211	228	332
GIOHHFHI_01250	contig_1_pilon	1472063	1472710	+	648	23	7	32
GIOHHFHI_01251	contig_1_pilon	1472707	1473672	+	966	23	34	24
GIOHHFHI_01252	contig_1_pilon	1473835	1475982	+	2148	70	70	56
GIOHHFHI_01253	contig_1_pilon	1476182	1476727	+	546	0	0	4
GIOHHFHI_01254	contig_1_pilon	1476724	1477101	+	378	6	6	8
GIOHHFHI_01255	contig_1_pilon	1477166	1478326	-	1161	12	30	2
GIOHHFHI_01256	contig_1_pilon	1479375	1480061	-	687	110	110	114
GIOHHFHI_01257	contig_1_pilon	1480068	1481198	-	1131	1157	1185	1370
GIOHHFHI_01258	contig_1_pilon	1481400	1482599	+	1200	2	0	0
GIOHHFHI_01259	contig_1_pilon	1482696	1483985	-	1290	166	132	143
GIOHHFHI_01260	contig_1_pilon	1484085	1484279	-	195	20	16	32
GIOHHFHI_01261	contig_1_pilon	1484359	1485288	+	930	23	26	26
GIOHHFHI_01262	contig_1_pilon	1485322	1485630	-	309	4	6	5
GIOHHFHI_01263	contig_1_pilon	1485627	1486376	-	750	19	2	8
GIOHHFHI_01264	contig_1_pilon	1486537	1487499	-	963	23	8	20
GIOHHFHI_01265	contig_1_pilon	1487624	1492396	+	4773	284	262	242
GIOHHFHI_01266	contig_1_pilon	1492445	1493266	+	822	94	115	116
GIOHHFHI_01267	contig_1_pilon	1493280	1493609	-	330	118	134	133
GIOHHFHI_01268	contig_1_pilon	1493990	1494964	+	975	27	26	29
GIOHHFHI_01269	contig_1_pilon	1495147	1495656	+	510	50	60	55
GIOHHFHI_01270	contig_1_pilon	1495764	1496183	-	420	2093	2265	1875
GIOHHFHI_01271	contig_1_pilon	1496483	1497655	+	1173	34	55	80
GIOHHFHI_01272	contig_1_pilon	1497697	1498167	-	471	60253	56843	41936
GIOHHFHI_01273	contig_1_pilon	1498482	1498865	-	384	1809	1730	1384
GIOHHFHI_01274	contig_1_pilon	1498975	1499547	-	573	755	555	483
GIOHHFHI_01275	contig_1_pilon	1499641	1500441	-	801	430	467	377
GIOHHFHI_01276	contig_1_pilon	1500438	1501931	-	1494	1281	1375	1331
GIOHHFHI_01277	contig_1_pilon	1502033	1502848	-	816	4497	4061	3664
GIOHHFHI_01278	contig_1_pilon	1503149	1505983	-	2835	2545	2504	2487
GIOHHFHI_01279	contig_1_pilon	1506150	1506812	-	663	2348	2320	2117
GIOHHFHI_01280	contig_1_pilon	1507066	1512576	-	5511	1279	1042	1358
GIOHHFHI_01281	contig_1_pilon	1512835	1515507	+	2673	691	753	747
GIOHHFHI_01283	contig_1_pilon	1515768	1516454	-	687	755	665	709
GIOHHFHI_01287	contig_1_pilon	1522413	1524098	-	1686	2099	2056	2467
GIOHHFHI_01288	contig_1_pilon	1524212	1525111	-	900	4298	4410	3604
GIOHHFHI_01289	contig_1_pilon	1525348	1526160	-	813	264	290	318
GIOHHFHI_01290	contig_1_pilon	1526341	1526580	+	240	673	742	659
GIOHHFHI_01291	contig_1_pilon	1526707	1527258	+	552	135	153	133
GIOHHFHI_01292	contig_1_pilon	1527341	1527793	-	453	70	44	76
GIOHHFHI_01293	contig_1_pilon	1527806	1528558	-	753	194	189	146
GIOHHFHI_01294	contig_1_pilon	1528606	1529985	-	1380	239	231	256
GIOHHFHI_01295	contig_1_pilon	1529982	1532192	-	2211	3569	3663	4730
GIOHHFHI_01296	contig_1_pilon	1532493	1532780	-	288	1436	1501	1223
GIOHHFHI_01297	contig_1_pilon	1532992	1534464	-	1473	23	44	41
GIOHHFHI_01298	contig_1_pilon	1534746	1538702	+	3957	241	307	234
GIOHHFHI_01299	contig_1_pilon	1538957	1539775	-	819	4	4	4
GIOHHFHI_01300	contig_1_pilon	1539772	1540080	-	309	21	24	15
GIOHHFHI_01301	contig_1_pilon	1540354	1540779	+	426	224	201	204
GIOHHFHI_01302	contig_1_pilon	1541076	1542389	+	1314	40	25	39
GIOHHFHI_01303	contig_1_pilon	1542656	1544848	+	2193	78	79	47
GIOHHFHI_01304	contig_1_pilon	1544845	1546173	+	1329	29	26	30
GIOHHFHI_01305	contig_1_pilon	1546253	1546552	-	300	37	36	33
GIOHHFHI_01306	contig_1_pilon	1546718	1547356	-	639	104	147	103
GIOHHFHI_01307	contig_1_pilon	1547517	1548194	-	678	11	10	6
GIOHHFHI_01308	contig_1_pilon	1548191	1548793	-	603	4	7	6
GIOHHFHI_01309	contig_1_pilon	1549433	1549762	+	330	170	190	151
GIOHHFHI_01310	contig_1_pilon	1549963	1550955	+	993	116	86	124
GIOHHFHI_01311	contig_1_pilon	1551479	1552576	-	1098	20	24	2
GIOHHFHI_01312	contig_1_pilon	1552610	1552879	-	270	0	0	0
GIOHHFHI_01313	contig_1_pilon	1553403	1554245	-	843	680	665	490
GIOHHFHI_01314	contig_1_pilon	1554264	1554725	-	462	9	28	22
GIOHHFHI_01315	contig_1_pilon	1554858	1556132	-	1275	928	1145	1204
GIOHHFHI_01316	contig_1_pilon	1556269	1557921	-	1653	1153	1199	1416
GIOHHFHI_01317	contig_1_pilon	1557980	1558294	-	315	648	493	833
GIOHHFHI_01318	contig_1_pilon	1558297	1559511	-	1215	236	320	664
GIOHHFHI_01319	contig_1_pilon	1559807	1560097	-	291	1937	1830	1573
GIOHHFHI_01320	contig_1_pilon	1560229	1560516	-	288	4666	4638	3834
GIOHHFHI_01321	contig_1_pilon	1560950	1562581	-	1632	189	195	305
GIOHHFHI_01322	contig_1_pilon	1562798	1564180	+	1383	43	58	73
GIOHHFHI_01323	contig_1_pilon	1564180	1565028	+	849	21	10	35
GIOHHFHI_01324	contig_1_pilon	1565413	1568376	+	2964	1258	1196	1457
GIOHHFHI_01325	contig_1_pilon	1568511	1569461	-	951	276	200	202
GIOHHFHI_01326	contig_1_pilon	1569768	1570742	-	975	211	225	248
GIOHHFHI_01327	contig_1_pilon	1570742	1571188	-	447	286	300	320
GIOHHFHI_01328	contig_1_pilon	1571244	1571540	-	297	272	282	377
GIOHHFHI_01329	contig_1_pilon	1571714	1574767	-	3054	4654	3843	4234
GIOHHFHI_01330	contig_1_pilon	1575396	1576388	-	993	1784	1630	1537
GIOHHFHI_01331	contig_1_pilon	1576391	1576924	-	534	1516	1325	1002
GIOHHFHI_01332	contig_1_pilon	1577043	1577642	+	600	4	10	6
GIOHHFHI_01334	contig_1_pilon	1578336	1579250	+	915	9	3	4
GIOHHFHI_01335	contig_1_pilon	1579448	1581148	-	1701	351	364	325
GIOHHFHI_01336	contig_1_pilon	1581252	1581785	-	534	62	93	37
GIOHHFHI_01337	contig_1_pilon	1581875	1582720	-	846	268	154	149
GIOHHFHI_01338	contig_1_pilon	1582918	1584075	-	1158	2918	2661	2968
GIOHHFHI_01339	contig_1_pilon	1584254	1585555	-	1302	632	621	691
GIOHHFHI_01340	contig_1_pilon	1585552	1586832	-	1281	279	209	217
GIOHHFHI_01341	contig_1_pilon	1586911	1587723	+	813	49	43	26
GIOHHFHI_01342	contig_1_pilon	1587754	1589673	-	1920	4601	5331	7221
GIOHHFHI_01343	contig_1_pilon	1589914	1590600	-	687	13	8	17
GIOHHFHI_01344	contig_1_pilon	1590575	1591879	-	1305	48	36	32
GIOHHFHI_01345	contig_1_pilon	1592158	1593603	-	1446	283	327	447
GIOHHFHI_01346	contig_1_pilon	1593946	1595607	-	1662	66	69	69
GIOHHFHI_01347	contig_1_pilon	1595969	1596427	+	459	42	19	30
GIOHHFHI_01348	contig_1_pilon	1596657	1598819	-	2163	24	21	27
GIOHHFHI_01349	contig_1_pilon	1599059	1600408	+	1350	618	467	833
GIOHHFHI_01350	contig_1_pilon	1600773	1601423	+	651	8	10	2
GIOHHFHI_01351	contig_1_pilon	1601387	1602427	-	1041	4	5	7
GIOHHFHI_01352	contig_1_pilon	1602424	1603353	-	930	12	22	0
GIOHHFHI_01353	contig_1_pilon	1603622	1604782	+	1161	6	0	14
GIOHHFHI_01354	contig_1_pilon	1604786	1605919	+	1134	0	0	0
GIOHHFHI_01355	contig_1_pilon	1605939	1607165	-	1227	4	0	0
GIOHHFHI_01356	contig_1_pilon	1607165	1608511	-	1347	0	0	0
GIOHHFHI_01357	contig_1_pilon	1608511	1609623	-	1113	0	2	2
GIOHHFHI_01358	contig_1_pilon	1609620	1610600	-	981	0	0	0
GIOHHFHI_01359	contig_1_pilon	1610597	1611664	-	1068	0	0	0
GIOHHFHI_01360	contig_1_pilon	1611832	1612851	-	1020	15	22	10
GIOHHFHI_01361	contig_1_pilon	1613012	1613464	-	453	14	6	8
GIOHHFHI_01362	contig_1_pilon	1613695	1615110	-	1416	10	12	28
GIOHHFHI_01363	contig_1_pilon	1615116	1615913	-	798	6	9	9
GIOHHFHI_01364	contig_1_pilon	1615910	1616842	-	933	12	6	4
GIOHHFHI_01365	contig_1_pilon	1616839	1617987	-	1149	10	14	14
GIOHHFHI_01366	contig_1_pilon	1618046	1619293	-	1248	10	4	10
GIOHHFHI_01367	contig_1_pilon	1619365	1620882	-	1518	18	8	10
GIOHHFHI_01368	contig_1_pilon	1621114	1621734	+	621	12	8	32
GIOHHFHI_01369	contig_1_pilon	1621757	1622344	-	588	91	76	75
GIOHHFHI_01370	contig_1_pilon	1622700	1623638	+	939	38	12	33
GIOHHFHI_01371	contig_1_pilon	1623712	1624803	+	1092	216	194	246
GIOHHFHI_01372	contig_1_pilon	1624836	1625588	+	753	20	16	18
GIOHHFHI_01373	contig_1_pilon	1625610	1626143	-	534	2	0	0
GIOHHFHI_01374	contig_1_pilon	1626343	1627290	+	948	1	4	2
GIOHHFHI_01375	contig_1_pilon	1627312	1628496	-	1185	52	27	42
GIOHHFHI_01376	contig_1_pilon	1628626	1630080	-	1455	388	372	539
GIOHHFHI_01377	contig_1_pilon	1630250	1630732	+	483	197	176	179
GIOHHFHI_01378	contig_1_pilon	1630735	1632096	+	1362	251	378	399
GIOHHFHI_01379	contig_1_pilon	1632526	1633257	+	732	74	60	111
GIOHHFHI_01380	contig_1_pilon	1633239	1634456	+	1218	14	24	38
GIOHHFHI_01381	contig_1_pilon	1634505	1635698	+	1194	66	88	74
GIOHHFHI_01382	contig_1_pilon	1635793	1636785	+	993	36	18	13
GIOHHFHI_01383	contig_1_pilon	1636865	1637926	-	1062	33	38	25
GIOHHFHI_01384	contig_1_pilon	1637927	1639600	-	1674	29	23	25
GIOHHFHI_01385	contig_1_pilon	1639597	1640676	-	1080	93	92	94
GIOHHFHI_01386	contig_1_pilon	1640925	1642031	-	1107	629	567	526
GIOHHFHI_01387	contig_1_pilon	1642156	1643166	-	1011	520	464	530
GIOHHFHI_01388	contig_1_pilon	1643295	1643852	-	558	1387	1420	1260
GIOHHFHI_01389	contig_1_pilon	1644028	1644801	-	774	550	524	528
GIOHHFHI_01390	contig_1_pilon	1644978	1645814	-	837	1425	1369	1518
GIOHHFHI_01391	contig_1_pilon	1645923	1646804	-	882	5778	5226	5326
GIOHHFHI_01392	contig_1_pilon	1647307	1648497	+	1191	40	39	54
GIOHHFHI_01393	contig_1_pilon	1648543	1649082	-	540	1378	1317	1062
GIOHHFHI_01394	contig_1_pilon	1649983	1650819	-	837	28	20	12
GIOHHFHI_01395	contig_1_pilon	1651200	1652366	-	1167	14	6	6
GIOHHFHI_01396	contig_1_pilon	1653120	1654730	-	1611	63	57	69
GIOHHFHI_01397	contig_1_pilon	1654732	1655022	-	291	9	15	25
GIOHHFHI_01398	contig_1_pilon	1655560	1655868	-	309	2516	2027	1497
GIOHHFHI_01399	contig_1_pilon	1655907	1656365	-	459	438	289	409
GIOHHFHI_01400	contig_1_pilon	1656547	1657272	-	726	43	50	87
GIOHHFHI_01401	contig_1_pilon	1657462	1658286	-	825	565	517	492
GIOHHFHI_01402	contig_1_pilon	1658381	1659643	-	1263	424	320	312
GIOHHFHI_01403	contig_1_pilon	1659636	1660538	-	903	154	180	162
GIOHHFHI_01404	contig_1_pilon	1660584	1660931	-	348	2628	2539	1872
GIOHHFHI_01405	contig_1_pilon	1661063	1661872	-	810	124	133	131
GIOHHFHI_01406	contig_1_pilon	1661872	1662426	-	555	249	264	223
GIOHHFHI_01407	contig_1_pilon	1662614	1662853	-	240	420	380	333
GIOHHFHI_01408	contig_1_pilon	1662856	1663296	-	441	4326	4360	4104
GIOHHFHI_01409	contig_1_pilon	1663453	1664067	-	615	560	576	645
GIOHHFHI_01410	contig_1_pilon	1664833	1665708	+	876	33	56	36
GIOHHFHI_01411	contig_1_pilon	1666091	1667038	+	948	6	6	6
GIOHHFHI_01412	contig_1_pilon	1667320	1667691	+	372	2	5	15
GIOHHFHI_01413	contig_1_pilon	1667688	1668044	+	357	0	3	4
GIOHHFHI_01414	contig_1_pilon	1668133	1669515	+	1383	4	5	31
GIOHHFHI_01415	contig_1_pilon	1669551	1670561	+	1011	2	7	7
GIOHHFHI_01416	contig_1_pilon	1670558	1671805	+	1248	2	0	6
GIOHHFHI_01417	contig_1_pilon	1671812	1672999	+	1188	0	6	6
GIOHHFHI_01418	contig_1_pilon	1672996	1674246	+	1251	9	3	11
GIOHHFHI_01419	contig_1_pilon	1674357	1675913	-	1557	1167	998	955
GIOHHFHI_01420	contig_1_pilon	1677235	1680462	-	3228	26	24	32
GIOHHFHI_01421	contig_1_pilon	1680597	1680935	-	339	6	10	15
GIOHHFHI_01422	contig_1_pilon	1680932	1682374	-	1443	19	9	25
GIOHHFHI_01423	contig_1_pilon	1682832	1684184	-	1353	513	501	822
GIOHHFHI_01424	contig_1_pilon	1684250	1685317	+	1068	31	40	86
GIOHHFHI_01425	contig_1_pilon	1685587	1686255	+	669	57	89	58
GIOHHFHI_01426	contig_1_pilon	1686428	1687657	-	1230	719	721	752
GIOHHFHI_01427	contig_1_pilon	1688384	1688920	+	537	18	4	6
GIOHHFHI_01428	contig_1_pilon	1689127	1690608	+	1482	197	220	208
GIOHHFHI_01429	contig_1_pilon	1690701	1691690	+	990	29	0	8
GIOHHFHI_01430	contig_1_pilon	1691899	1693314	-	1416	2713	2518	2462
GIOHHFHI_01431	contig_1_pilon	1693578	1697135	-	3558	115	144	169
GIOHHFHI_01432	contig_1_pilon	1697438	1697644	-	207	9587	11463	8843
GIOHHFHI_01433	contig_1_pilon	1698026	1698307	-	282	63	102	51
GIOHHFHI_01435	contig_1_pilon	1699514	1699750	-	237	380	337	315
GIOHHFHI_01436	contig_1_pilon	1699936	1700589	-	654	2	12	11
GIOHHFHI_01437	contig_1_pilon	1700708	1701142	+	435	71	80	56
GIOHHFHI_01438	contig_1_pilon	1701201	1702061	-	861	9	16	14
GIOHHFHI_01439	contig_1_pilon	1702309	1703136	-	828	598	712	746
GIOHHFHI_01440	contig_1_pilon	1703156	1703329	-	174	775	847	816
GIOHHFHI_01441	contig_1_pilon	1703332	1703940	-	609	3230	3516	3085
GIOHHFHI_01442	contig_1_pilon	1704101	1705267	-	1167	118	138	171
GIOHHFHI_01443	contig_1_pilon	1705296	1705805	-	510	308	331	284
GIOHHFHI_01444	contig_1_pilon	1705802	1706386	-	585	237	188	172
GIOHHFHI_01445	contig_1_pilon	1706770	1708995	-	2226	434	546	510
GIOHHFHI_01446	contig_1_pilon	1709146	1710897	-	1752	48	48	50
GIOHHFHI_01447	contig_1_pilon	1711161	1711346	+	186	5474	4086	3021
GIOHHFHI_01448	contig_1_pilon	1711459	1712250	-	792	20	55	46
GIOHHFHI_01449	contig_1_pilon	1712297	1713277	-	981	89	72	98
GIOHHFHI_01450	contig_1_pilon	1713505	1713738	+	234	220	246	200
GIOHHFHI_01451	contig_1_pilon	1713747	1714241	+	495	95	78	107
GIOHHFHI_01452	contig_1_pilon	1714280	1715422	-	1143	143	127	135
GIOHHFHI_01453	contig_1_pilon	1715547	1716548	-	1002	87	81	109
GIOHHFHI_01454	contig_1_pilon	1716545	1717375	-	831	366	436	425
GIOHHFHI_01455	contig_1_pilon	1717517	1718203	+	687	50	56	47
GIOHHFHI_01456	contig_1_pilon	1718184	1718405	-	222	23	34	42
GIOHHFHI_01457	contig_1_pilon	1718544	1719257	-	714	10553	15067	21007
GIOHHFHI_01458	contig_1_pilon	1719383	1719628	-	246	4477	4629	4916
GIOHHFHI_01459	contig_1_pilon	1719764	1720357	-	594	303	281	216
GIOHHFHI_01460	contig_1_pilon	1720361	1721791	-	1431	213	199	282
GIOHHFHI_01461	contig_1_pilon	1721964	1722680	+	717	30	26	36
GIOHHFHI_01462	contig_1_pilon	1722772	1723251	-	480	0	2	0
GIOHHFHI_01463	contig_1_pilon	1723336	1723983	+	648	4	4	4
GIOHHFHI_01469	contig_1_pilon	1724650	1725375	-	726	64	56	61
GIOHHFHI_01470	contig_1_pilon	1725508	1725807	+	300	6	10	8
GIOHHFHI_01471	contig_1_pilon	1725885	1726079	-	195	12	11	26
GIOHHFHI_01472	contig_1_pilon	1726088	1726264	-	177	27	31	26
GIOHHFHI_01473	contig_1_pilon	1726252	1726485	-	234	32	53	40
GIOHHFHI_01474	contig_1_pilon	1726482	1726676	-	195	27	41	19
GIOHHFHI_01475	contig_1_pilon	1726690	1727463	-	774	208	205	199
GIOHHFHI_01476	contig_1_pilon	1727669	1727968	+	300	4	12	9
GIOHHFHI_01477	contig_1_pilon	1728114	1728446	+	333	33	37	49
GIOHHFHI_01478	contig_1_pilon	1728443	1728682	+	240	20	28	31
GIOHHFHI_01479	contig_1_pilon	1728760	1730238	-	1479	204	243	373
GIOHHFHI_01480	contig_1_pilon	1730231	1730992	-	762	368	336	333
GIOHHFHI_01481	contig_1_pilon	1731078	1731311	-	234	27	33	37
GIOHHFHI_01482	contig_1_pilon	1731924	1732595	+	672	222	145	195
GIOHHFHI_01483	contig_1_pilon	1732625	1735663	+	3039	122	114	118
GIOHHFHI_01484	contig_1_pilon	1735664	1736086	+	423	75	151	79
GIOHHFHI_01485	contig_1_pilon	1736184	1736594	+	411	73	11	50
GIOHHFHI_01486	contig_1_pilon	1736575	1737174	+	600	105	104	140
GIOHHFHI_01487	contig_1_pilon	1737597	1740794	+	3198	177	127	149
GIOHHFHI_01488	contig_1_pilon	1740796	1741218	+	423	110	170	238
GIOHHFHI_01489	contig_1_pilon	1741303	1741914	+	612	113	153	186
GIOHHFHI_01490	contig_1_pilon	1741895	1742473	+	579	125	193	235
GIOHHFHI_01491	contig_1_pilon	1742535	1744289	-	1755	2	20	4
GIOHHFHI_01492	contig_1_pilon	1744483	1745826	+	1344	10	4	14
GIOHHFHI_01493	contig_1_pilon	1745830	1746492	-	663	52	27	78
GIOHHFHI_01494	contig_1_pilon	1746741	1746947	-	207	20	16	31
GIOHHFHI_01495	contig_1_pilon	1747001	1748584	-	1584	2859	2586	3161
GIOHHFHI_01496	contig_1_pilon	1748845	1751289	-	2445	46	38	30
GIOHHFHI_01497	contig_1_pilon	1751509	1752135	+	627	8	26	4
GIOHHFHI_01498	contig_1_pilon	1752224	1753834	-	1611	276	271	353
GIOHHFHI_01499	contig_1_pilon	1754226	1755560	-	1335	207	184	241
GIOHHFHI_01500	contig_1_pilon	1755668	1756930	-	1263	5	13	11
GIOHHFHI_01501	contig_1_pilon	1757062	1757691	-	630	26	34	16
GIOHHFHI_01502	contig_1_pilon	1757709	1758758	-	1050	4	2	7
GIOHHFHI_01503	contig_1_pilon	1758981	1760066	-	1086	1091	1116	1512
GIOHHFHI_01504	contig_1_pilon	1760371	1761411	-	1041	132	138	192
GIOHHFHI_01505	contig_1_pilon	1761541	1763106	+	1566	159	243	298
GIOHHFHI_01506	contig_1_pilon	1763173	1763304	-	132	4054	3015	2445
GIOHHFHI_01507	contig_1_pilon	1763660	1764319	+	660	3298	3304	2473
GIOHHFHI_01508	contig_1_pilon	1764388	1766019	-	1632	312	404	820
GIOHHFHI_01509	contig_1_pilon	1766128	1767054	-	927	153	131	171
GIOHHFHI_01510	contig_1_pilon	1767319	1768647	+	1329	30	40	36
GIOHHFHI_01511	contig_1_pilon	1769355	1770017	-	663	3423	3384	4069
GIOHHFHI_01512	contig_1_pilon	1770219	1771184	-	966	83680	81542	83062
GIOHHFHI_01513	contig_1_pilon	1771450	1773042	-	1593	565	549	700
GIOHHFHI_01514	contig_1_pilon	1773343	1774341	-	999	1768	1796	1871
GIOHHFHI_01515	contig_1_pilon	1774444	1774968	-	525	237	278	388
GIOHHFHI_01516	contig_1_pilon	1775014	1776882	-	1869	434	603	887
GIOHHFHI_01517	contig_1_pilon	1777091	1778365	-	1275	111	40	105
GIOHHFHI_01518	contig_1_pilon	1778346	1780094	-	1749	417	439	692
GIOHHFHI_01519	contig_1_pilon	1780427	1781389	-	963	96	150	150
GIOHHFHI_01520	contig_1_pilon	1781537	1782469	+	933	14	4	6
GIOHHFHI_01521	contig_1_pilon	1782927	1784078	+	1152	6	6	20
GIOHHFHI_01522	contig_1_pilon	1784241	1784423	+	183	99	109	151
GIOHHFHI_01523	contig_1_pilon	1784479	1787586	-	3108	116	110	91
GIOHHFHI_01524	contig_1_pilon	1787661	1787840	-	180	2	2	5
GIOHHFHI_01525	contig_1_pilon	1788084	1788722	-	639	4	1	2
GIOHHFHI_01526	contig_1_pilon	1788854	1791136	-	2283	88	113	101
GIOHHFHI_01527	contig_1_pilon	1791437	1793566	-	2130	713	848	1207
GIOHHFHI_01528	contig_1_pilon	1793765	1794571	-	807	29	9	26
GIOHHFHI_01529	contig_1_pilon	1795071	1795550	+	480	4	4	4
GIOHHFHI_01530	contig_1_pilon	1795547	1795822	+	276	0	3	3
GIOHHFHI_01531	contig_1_pilon	1795855	1796340	+	486	8	6	14
GIOHHFHI_01532	contig_1_pilon	1796371	1796631	+	261	14	13	23
GIOHHFHI_01533	contig_1_pilon	1796679	1798283	-	1605	25	19	16
GIOHHFHI_01534	contig_1_pilon	1798627	1800375	+	1749	30	38	24
GIOHHFHI_01535	contig_1_pilon	1800433	1801941	-	1509	320	413	640
GIOHHFHI_01536	contig_1_pilon	1801964	1802206	-	243	79	107	109
GIOHHFHI_01537	contig_1_pilon	1802203	1803696	-	1494	301	363	505
GIOHHFHI_01538	contig_1_pilon	1803702	1803998	-	297	212	339	359
GIOHHFHI_01539	contig_1_pilon	1804198	1806315	-	2118	307	262	275
GIOHHFHI_01540	contig_1_pilon	1806472	1808688	-	2217	706	696	590
GIOHHFHI_01541	contig_1_pilon	1808720	1809748	-	1029	92	142	108
GIOHHFHI_01542	contig_1_pilon	1809924	1810613	-	690	85	80	145
GIOHHFHI_01543	contig_1_pilon	1810753	1811295	-	543	79	89	53
GIOHHFHI_01544	contig_1_pilon	1811355	1812737	-	1383	109	209	173
GIOHHFHI_01545	contig_1_pilon	1812923	1814623	+	1701	42	24	28
GIOHHFHI_01546	contig_1_pilon	1814589	1815362	-	774	30	2	22
GIOHHFHI_01547	contig_1_pilon	1815613	1816671	+	1059	107	146	132
GIOHHFHI_01548	contig_1_pilon	1816701	1817822	-	1122	228	263	231
GIOHHFHI_01549	contig_1_pilon	1817877	1818575	+	699	44	38	65
GIOHHFHI_01550	contig_1_pilon	1818624	1819178	+	555	15	11	16
GIOHHFHI_01551	contig_1_pilon	1819192	1820361	-	1170	38	24	46
GIOHHFHI_01552	contig_1_pilon	1820526	1821380	+	855	56	36	35
GIOHHFHI_01553	contig_1_pilon	1821401	1826599	-	5199	149	116	96
GIOHHFHI_01554	contig_1_pilon	1826596	1827615	-	1020	55	40	68
GIOHHFHI_01555	contig_1_pilon	1827651	1829903	-	2253	127	130	130
GIOHHFHI_01556	contig_1_pilon	1829911	1830333	-	423	368	201	196
GIOHHFHI_01557	contig_1_pilon	1830409	1831266	-	858	17	28	17
GIOHHFHI_01558	contig_1_pilon	1831395	1832009	+	615	58	49	43
GIOHHFHI_01559	contig_1_pilon	1832023	1833084	-	1062	149	190	157
GIOHHFHI_01560	contig_1_pilon	1833192	1834595	-	1404	50	29	112
GIOHHFHI_01561	contig_1_pilon	1834717	1835517	-	801	62	61	53
GIOHHFHI_01562	contig_1_pilon	1835690	1836757	-	1068	173	128	138
GIOHHFHI_01563	contig_1_pilon	1836754	1837962	-	1209	210	178	413
GIOHHFHI_01564	contig_1_pilon	1837959	1838969	-	1011	196	169	434
GIOHHFHI_01565	contig_1_pilon	1839047	1840795	-	1749	2166	2143	3980
GIOHHFHI_01566	contig_1_pilon	1840866	1841903	-	1038	440	493	720
GIOHHFHI_01567	contig_1_pilon	1842420	1843220	-	801	330	309	214
GIOHHFHI_01568	contig_1_pilon	1843393	1844190	-	798	44	32	24
GIOHHFHI_01569	contig_1_pilon	1844385	1845230	+	846	886	944	912
GIOHHFHI_01570	contig_1_pilon	1845392	1846126	-	735	47	44	42
GIOHHFHI_01571	contig_1_pilon	1846652	1847818	+	1167	158	155	173
GIOHHFHI_01572	contig_1_pilon	1847907	1848281	+	375	359	398	467
GIOHHFHI_01573	contig_1_pilon	1848337	1849596	+	1260	454	521	578
GIOHHFHI_01574	contig_1_pilon	1849981	1851675	+	1695	37	17	59
GIOHHFHI_01575	contig_1_pilon	1851798	1853180	+	1383	482	487	466
GIOHHFHI_01576	contig_1_pilon	1853292	1853564	+	273	316	262	273
GIOHHFHI_01577	contig_1_pilon	1853561	1853953	+	393	121	133	161
GIOHHFHI_01578	contig_1_pilon	1853994	1855001	-	1008	39	41	50
GIOHHFHI_01579	contig_1_pilon	1854998	1855522	-	525	2	22	41
GIOHHFHI_01580	contig_1_pilon	1855885	1856148	-	264	0	19	6
GIOHHFHI_01581	contig_1_pilon	1856285	1857034	-	750	18	22	17
GIOHHFHI_01582	contig_1_pilon	1857402	1857956	+	555	298	348	407
GIOHHFHI_01583	contig_1_pilon	1858015	1858845	+	831	344	273	284
GIOHHFHI_01584	contig_1_pilon	1859095	1859442	+	348	636	679	569
GIOHHFHI_01585	contig_1_pilon	1859548	1860189	-	642	18	23	17
GIOHHFHI_01586	contig_1_pilon	1860321	1860485	-	165	0	9	4
GIOHHFHI_01587	contig_1_pilon	1860621	1861451	-	831	22	15	22
GIOHHFHI_01588	contig_1_pilon	1861448	1862254	-	807	28	31	32
GIOHHFHI_01589	contig_1_pilon	1862314	1862733	-	420	41	20	32
GIOHHFHI_01590	contig_1_pilon	1863248	1863703	-	456	69	42	60
GIOHHFHI_01591	contig_1_pilon	1864066	1864833	-	768	55	88	51
GIOHHFHI_01592	contig_1_pilon	1864915	1866078	-	1164	212	213	199
GIOHHFHI_01593	contig_1_pilon	1866361	1867548	-	1188	18	12	6
GIOHHFHI_01594	contig_1_pilon	1867841	1870258	+	2418	97	104	141
GIOHHFHI_01595	contig_1_pilon	1870340	1872226	+	1887	88	111	126
GIOHHFHI_01596	contig_1_pilon	1872223	1874238	+	2016	94	168	117
GIOHHFHI_01597	contig_1_pilon	1874334	1875812	-	1479	15	14	7
GIOHHFHI_01598	contig_1_pilon	1876423	1877862	+	1440	48	53	46
GIOHHFHI_01599	contig_1_pilon	1877996	1879519	-	1524	94	93	98
GIOHHFHI_01600	contig_1_pilon	1879647	1880750	-	1104	0	7	0
