# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "15" "-p" "-s" "2" "-a" "/home/haddock/private/Genome_analysis/GenomeAnalysis/data/assembly/R7.gff" "-t" "CDS" "-g" "ID" "-o" "featureCount_HP126_2.txt" "HP126_rep1_rna_map.sorted.bam" "HP126_rep2_rna_map.sorted.bam" "HP126_rep3_rna_map.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	HP126_rep1_rna_map.sorted.bam	HP126_rep2_rna_map.sorted.bam	HP126_rep3_rna_map.sorted.bam
PAOEAKHP_01959	contig_2_pilon	2201995	2202915	+	921	7	0	0
PAOEAKHP_01960	contig_2_pilon	2202941	2203351	-	411	4	16	21
PAOEAKHP_01961	contig_2_pilon	2203413	2204570	-	1158	30	26	31
PAOEAKHP_01962	contig_2_pilon	2204555	2205088	-	534	10	20	6
PAOEAKHP_01963	contig_2_pilon	2205339	2205749	-	411	15	20	2
PAOEAKHP_01964	contig_2_pilon	2205785	2207233	-	1449	50	26	64
PAOEAKHP_01965	contig_2_pilon	2207240	2208256	-	1017	25	30	29
PAOEAKHP_01966	contig_2_pilon	2208363	2209439	+	1077	67	107	99
PAOEAKHP_01967	contig_2_pilon	2209476	2210423	+	948	5	28	3
PAOEAKHP_01968	contig_2_pilon	2211011	2214259	-	3249	36	16	30
PAOEAKHP_01969	contig_2_pilon	2214553	2215224	-	672	32	10	22
PAOEAKHP_01970	contig_2_pilon	2215273	2217033	+	1761	26	40	26
PAOEAKHP_01971	contig_2_pilon	2217166	2217936	+	771	116	123	156
PAOEAKHP_01972	contig_2_pilon	2217946	2218602	+	657	120	109	109
PAOEAKHP_01973	contig_2_pilon	2218650	2219114	-	465	11	13	15
PAOEAKHP_01974	contig_2_pilon	2219387	2220391	-	1005	202	156	114
PAOEAKHP_01975	contig_2_pilon	2220740	2221897	-	1158	63	116	45
PAOEAKHP_01976	contig_2_pilon	2221978	2222778	-	801	4	12	7
PAOEAKHP_01977	contig_2_pilon	2222835	2223413	-	579	4	6	11
PAOEAKHP_01978	contig_2_pilon	2223995	2226214	-	2220	213	198	246
PAOEAKHP_01979	contig_2_pilon	2226735	2227616	+	882	0	16	8
PAOEAKHP_01980	contig_2_pilon	2227718	2228398	+	681	4	0	0
PAOEAKHP_01981	contig_2_pilon	2228494	2229036	+	543	6	34	26
PAOEAKHP_01982	contig_2_pilon	2229058	2229792	-	735	4	5	18
PAOEAKHP_01983	contig_2_pilon	2229945	2230583	-	639	6	2	6
PAOEAKHP_01984	contig_2_pilon	2230705	2232540	+	1836	2	8	10
PAOEAKHP_01985	contig_2_pilon	2232632	2235037	-	2406	2	0	0
PAOEAKHP_01986	contig_2_pilon	2235030	2235488	-	459	0	0	0
PAOEAKHP_01987	contig_2_pilon	2235768	2237621	-	1854	0	16	4
PAOEAKHP_01988	contig_2_pilon	2237638	2239266	-	1629	21	14	6
PAOEAKHP_01989	contig_2_pilon	2239263	2241941	-	2679	26	28	25
PAOEAKHP_01990	contig_2_pilon	2242707	2243960	+	1254	10	16	16
PAOEAKHP_01991	contig_2_pilon	2245203	2245694	-	492	2	4	17
PAOEAKHP_01992	contig_2_pilon	2245837	2246277	-	441	8	11	10
PAOEAKHP_01993	contig_2_pilon	2246380	2246979	-	600	4	3	12
PAOEAKHP_01994	contig_2_pilon	2247092	2248039	-	948	0	2	2
PAOEAKHP_01995	contig_2_pilon	2248529	2248705	-	177	0	0	0
PAOEAKHP_01996	contig_2_pilon	2248825	2249817	+	993	0	0	0
PAOEAKHP_01997	contig_2_pilon	2249966	2251477	-	1512	0	0	6
PAOEAKHP_01998	contig_2_pilon	2251851	2252693	+	843	0	2	2
PAOEAKHP_01999	contig_2_pilon	2252876	2255443	+	2568	0	2	0
PAOEAKHP_02000	contig_2_pilon	2255430	2256422	-	993	0	0	0
PAOEAKHP_02001	contig_2_pilon	2256441	2256575	-	135	2	0	0
PAOEAKHP_02002	contig_2_pilon	2256826	2258634	-	1809	0	0	0
PAOEAKHP_02003	contig_2_pilon	2258790	2259650	+	861	0	0	0
PAOEAKHP_02004	contig_2_pilon	2259747	2262485	-	2739	14	18	18
PAOEAKHP_02005	contig_2_pilon	2262702	2264990	+	2289	32	28	53
PAOEAKHP_02006	contig_2_pilon	2265147	2265620	+	474	33	19	39
PAOEAKHP_02007	contig_2_pilon	2266125	2267372	+	1248	2251	2675	2714
PAOEAKHP_02008	contig_2_pilon	2267573	2268502	+	930	6	8	5
PAOEAKHP_02009	contig_2_pilon	2268508	2270334	+	1827	4	6	12
PAOEAKHP_02010	contig_2_pilon	2270342	2271265	+	924	1	4	0
PAOEAKHP_02011	contig_2_pilon	2271262	2271984	+	723	0	4	6
PAOEAKHP_02012	contig_2_pilon	2272059	2272724	-	666	3	0	6
PAOEAKHP_02014	contig_2_pilon	2272931	2273773	+	843	2	0	0
PAOEAKHP_02015	contig_2_pilon	2274079	2275515	-	1437	0	2	0
PAOEAKHP_02016	contig_2_pilon	2275693	2276415	-	723	0	0	0
PAOEAKHP_02017	contig_2_pilon	2276504	2278411	+	1908	14	24	6
PAOEAKHP_02018	contig_2_pilon	2278493	2280001	-	1509	20	24	58
PAOEAKHP_02019	contig_2_pilon	2279998	2280339	-	342	0	0	0
PAOEAKHP_02020	contig_2_pilon	2281908	2284469	-	2562	10	15	8
PAOEAKHP_02021	contig_2_pilon	2284579	2285454	-	876	0	2	3
PAOEAKHP_02022	contig_2_pilon	2285621	2287441	+	1821	8	16	4
PAOEAKHP_02023	contig_2_pilon	2287445	2290627	-	3183	97	120	72
PAOEAKHP_02024	contig_2_pilon	2290826	2291968	-	1143	52	113	91
PAOEAKHP_02025	contig_2_pilon	2291974	2292648	-	675	81	115	125
PAOEAKHP_02026	contig_2_pilon	2293196	2294005	-	810	736	705	607
PAOEAKHP_02027	contig_2_pilon	2294275	2295198	+	924	15	21	32
PAOEAKHP_02028	contig_2_pilon	2295229	2296203	-	975	96	78	112
PAOEAKHP_02029	contig_2_pilon	2296240	2299026	-	2787	5950	4143	3994
PAOEAKHP_02030	contig_2_pilon	2299023	2307842	-	8820	128	101	66
PAOEAKHP_02031	contig_2_pilon	2308047	2309087	+	1041	1	10	12
PAOEAKHP_02032	contig_2_pilon	2309170	2309478	+	309	0	1	0
PAOEAKHP_02033	contig_2_pilon	2309549	2314282	-	4734	244	337	280
PAOEAKHP_02034	contig_2_pilon	2314279	2316072	-	1794	5	10	17
PAOEAKHP_02035	contig_2_pilon	2316069	2316680	-	612	0	0	0
PAOEAKHP_02036	contig_2_pilon	2316902	2317597	-	696	0	0	0
PAOEAKHP_02037	contig_2_pilon	2317751	2318533	-	783	2	4	0
PAOEAKHP_02038	contig_2_pilon	2318622	2319725	-	1104	0	4	0
PAOEAKHP_02039	contig_2_pilon	2319781	2320065	-	285	3	0	0
PAOEAKHP_02040	contig_2_pilon	2320212	2320682	+	471	2	0	2
PAOEAKHP_02041	contig_2_pilon	2320734	2321462	-	729	66	42	66
PAOEAKHP_02042	contig_2_pilon	2321532	2322071	+	540	2	0	0
PAOEAKHP_02043	contig_2_pilon	2322220	2323680	-	1461	24	16	14
PAOEAKHP_02044	contig_2_pilon	2323673	2328301	-	4629	0	4	2
PAOEAKHP_02045	contig_2_pilon	2328614	2329354	-	741	0	0	0
PAOEAKHP_02046	contig_2_pilon	2329636	2330802	+	1167	2	4	14
PAOEAKHP_02047	contig_2_pilon	2331112	2332083	+	972	4	7	4
PAOEAKHP_02048	contig_2_pilon	2332899	2334056	+	1158	9	15	6
PAOEAKHP_02049	contig_2_pilon	2334063	2335223	+	1161	6	0	4
PAOEAKHP_02050	contig_2_pilon	2336044	2336910	+	867	2	6	2
PAOEAKHP_02051	contig_2_pilon	2336913	2338190	+	1278	5	12	12
PAOEAKHP_02052	contig_2_pilon	2338187	2339146	+	960	0	0	3
PAOEAKHP_02053	contig_2_pilon	2339254	2340288	-	1035	22	2	13
PAOEAKHP_02054	contig_2_pilon	2340430	2341509	-	1080	0	4	14
PAOEAKHP_02055	contig_2_pilon	2341548	2342366	-	819	8	13	11
PAOEAKHP_02056	contig_2_pilon	2342366	2343670	-	1305	47	44	56
PAOEAKHP_02057	contig_2_pilon	2343951	2344184	-	234	0	0	0
PAOEAKHP_02058	contig_2_pilon	2344193	2345002	-	810	2	0	0
PAOEAKHP_02059	contig_2_pilon	2345256	2345687	-	432	0	0	1
PAOEAKHP_02060	contig_2_pilon	2345897	2346142	-	246	0	0	0
PAOEAKHP_02061	contig_2_pilon	2346229	2346882	-	654	2	2	0
PAOEAKHP_02062	contig_2_pilon	2347010	2348533	-	1524	6	0	2
PAOEAKHP_02063	contig_2_pilon	2348544	2348909	-	366	0	0	0
PAOEAKHP_02064	contig_2_pilon	2349231	2349863	+	633	0	0	0
PAOEAKHP_02065	contig_2_pilon	2349909	2351165	-	1257	0	0	0
PAOEAKHP_02066	contig_2_pilon	2351146	2352081	-	936	0	0	0
PAOEAKHP_02067	contig_2_pilon	2352091	2352843	-	753	0	4	6
PAOEAKHP_02068	contig_2_pilon	2352840	2353808	-	969	0	0	0
PAOEAKHP_02069	contig_2_pilon	2353918	2354490	-	573	0	0	0
PAOEAKHP_02070	contig_2_pilon	2354743	2355663	-	921	8	0	0
PAOEAKHP_02071	contig_2_pilon	2355759	2356463	+	705	0	7	14
PAOEAKHP_02072	contig_2_pilon	2356466	2358415	+	1950	25	12	19
PAOEAKHP_02073	contig_2_pilon	2358412	2359158	+	747	1	0	3
PAOEAKHP_02074	contig_2_pilon	2359202	2359969	-	768	4	2	0
PAOEAKHP_02075	contig_2_pilon	2360546	2361301	-	756	0	4	0
PAOEAKHP_02076	contig_2_pilon	2361298	2361693	-	396	0	0	0
PAOEAKHP_02077	contig_2_pilon	2361690	2362415	-	726	0	2	0
PAOEAKHP_02078	contig_2_pilon	2362427	2363074	-	648	0	0	2
PAOEAKHP_02079	contig_2_pilon	2363071	2363235	-	165	0	0	0
PAOEAKHP_02080	contig_2_pilon	2363232	2363825	-	594	0	0	0
PAOEAKHP_02081	contig_2_pilon	2363822	2364937	-	1116	0	0	2
PAOEAKHP_02082	contig_2_pilon	2364946	2366268	-	1323	2	5	8
PAOEAKHP_02083	contig_2_pilon	2366576	2368180	+	1605	122	111	178
PAOEAKHP_02084	contig_2_pilon	2368307	2369119	+	813	18	4	15
PAOEAKHP_02085	contig_2_pilon	2369200	2369730	+	531	3	0	6
PAOEAKHP_02086	contig_2_pilon	2369977	2370834	-	858	0	2	0
PAOEAKHP_02087	contig_2_pilon	2370831	2371703	-	873	4	0	0
PAOEAKHP_02088	contig_2_pilon	2371700	2372707	-	1008	0	0	0
PAOEAKHP_02089	contig_2_pilon	2373333	2374637	-	1305	0	0	2
PAOEAKHP_02090	contig_2_pilon	2374911	2375087	+	177	0	0	1
PAOEAKHP_02091	contig_2_pilon	2375254	2378796	-	3543	8	2	2
PAOEAKHP_02092	contig_2_pilon	2378983	2380326	+	1344	10	9	17
PAOEAKHP_02093	contig_2_pilon	2380454	2381113	+	660	0	7	6
PAOEAKHP_02094	contig_2_pilon	2381176	2382018	+	843	7	5	6
PAOEAKHP_02095	contig_2_pilon	2382145	2382846	+	702	4	4	12
PAOEAKHP_02096	contig_2_pilon	2382891	2383769	+	879	7	6	21
PAOEAKHP_02097	contig_2_pilon	2383864	2385528	+	1665	8	12	22
PAOEAKHP_02098	contig_2_pilon	2385554	2386207	-	654	0	0	0
PAOEAKHP_02099	contig_2_pilon	2386267	2387388	+	1122	38	8	36
PAOEAKHP_02100	contig_2_pilon	2387411	2389012	-	1602	0	2	0
PAOEAKHP_02101	contig_2_pilon	2389150	2390091	-	942	10	4	4
PAOEAKHP_02102	contig_2_pilon	2390162	2390806	-	645	0	0	0
PAOEAKHP_02103	contig_2_pilon	2390964	2391839	-	876	2	0	4
PAOEAKHP_02104	contig_2_pilon	2392444	2395584	+	3141	56	69	135
PAOEAKHP_02105	contig_2_pilon	2395991	2397118	-	1128	61	47	36
PAOEAKHP_02106	contig_2_pilon	2397168	2397461	-	294	180	209	132
PAOEAKHP_02107	contig_2_pilon	2397533	2398153	-	621	187	197	219
PAOEAKHP_02108	contig_2_pilon	2398278	2399009	-	732	72	106	115
PAOEAKHP_02109	contig_2_pilon	2399006	2399761	-	756	104	168	220
PAOEAKHP_02110	contig_2_pilon	2399775	2401004	-	1230	289	264	484
PAOEAKHP_02111	contig_2_pilon	2401279	2402145	-	867	20	31	37
PAOEAKHP_02112	contig_2_pilon	2402206	2403291	-	1086	16	4	10
PAOEAKHP_02113	contig_2_pilon	2403298	2404638	-	1341	10	2	13
PAOEAKHP_02114	contig_2_pilon	2404700	2406130	-	1431	18	4	18
PAOEAKHP_02115	contig_2_pilon	2406127	2407200	-	1074	30	46	76
PAOEAKHP_02116	contig_2_pilon	2407197	2408630	-	1434	155	171	240
PAOEAKHP_02117	contig_2_pilon	2408693	2410405	-	1713	321	217	301
PAOEAKHP_02118	contig_2_pilon	2410423	2412678	-	2256	24	30	34
PAOEAKHP_02119	contig_2_pilon	2412675	2412782	-	108	0	0	0
PAOEAKHP_02120	contig_2_pilon	2412787	2413383	-	597	2	3	2
PAOEAKHP_02121	contig_2_pilon	2413380	2414339	-	960	14	11	0
PAOEAKHP_02122	contig_2_pilon	2414833	2415390	+	558	7	14	24
PAOEAKHP_02123	contig_2_pilon	2415748	2416806	+	1059	26	58	39
PAOEAKHP_02124	contig_2_pilon	2416806	2418410	+	1605	22	16	10
PAOEAKHP_02125	contig_2_pilon	2418507	2421053	+	2547	32	45	72
PAOEAKHP_02126	contig_2_pilon	2421563	2421976	-	414	47	75	54
PAOEAKHP_02127	contig_2_pilon	2422236	2422991	-	756	112	147	250
PAOEAKHP_02128	contig_2_pilon	2423116	2423601	-	486	3953	4425	5186
PAOEAKHP_02129	contig_2_pilon	2423828	2424598	+	771	56	97	144
PAOEAKHP_02130	contig_2_pilon	2424570	2426777	+	2208	60	104	202
PAOEAKHP_02131	contig_2_pilon	2426774	2427424	+	651	20	34	42
PAOEAKHP_02132	contig_2_pilon	2427792	2428427	+	636	15	39	18
PAOEAKHP_02133	contig_2_pilon	2428506	2430092	+	1587	108	96	81
PAOEAKHP_02134	contig_2_pilon	2430136	2431197	-	1062	369	313	274
PAOEAKHP_02135	contig_2_pilon	2431249	2432166	-	918	3318	3209	2792
PAOEAKHP_02136	contig_2_pilon	2432296	2432946	-	651	178	175	157
PAOEAKHP_02137	contig_2_pilon	2433087	2433452	-	366	318	328	306
PAOEAKHP_02139	contig_2_pilon	2435122	2436399	+	1278	10	9	12
PAOEAKHP_02140	contig_2_pilon	2436396	2436614	+	219	0	4	4
PAOEAKHP_02141	contig_2_pilon	2436623	2437417	+	795	26	51	90
PAOEAKHP_02142	contig_2_pilon	2437602	2439608	+	2007	101	132	128
PAOEAKHP_02143	contig_2_pilon	2439721	2440611	+	891	47	32	41
PAOEAKHP_02144	contig_2_pilon	2440633	2441109	+	477	26	15	12
PAOEAKHP_02145	contig_2_pilon	2441162	2441794	-	633	159	123	178
PAOEAKHP_02146	contig_2_pilon	2441941	2442420	+	480	1500	1496	1111
PAOEAKHP_02147	contig_2_pilon	2442482	2442793	-	312	45	43	64
PAOEAKHP_02148	contig_2_pilon	2442939	2444288	-	1350	7	24	12
PAOEAKHP_02149	contig_2_pilon	2444404	2445786	-	1383	239	348	325
PAOEAKHP_02150	contig_2_pilon	2445913	2446734	+	822	14	11	31
PAOEAKHP_02151	contig_2_pilon	2446898	2448823	+	1926	0	19	10
PAOEAKHP_02152	contig_2_pilon	2448789	2449805	-	1017	150	113	140
PAOEAKHP_02153	contig_2_pilon	2449995	2451023	-	1029	8	20	2
PAOEAKHP_02154	contig_2_pilon	2451265	2451936	-	672	226	211	321
PAOEAKHP_02155	contig_2_pilon	2451933	2453249	-	1317	515	702	733
PAOEAKHP_02156	contig_2_pilon	2453279	2454058	-	780	109	100	108
PAOEAKHP_02157	contig_2_pilon	2454295	2455092	+	798	6	4	12
PAOEAKHP_02158	contig_2_pilon	2455079	2455798	+	720	20	18	30
PAOEAKHP_02159	contig_2_pilon	2455930	2457207	+	1278	242	258	305
PAOEAKHP_02160	contig_2_pilon	2457212	2457916	-	705	4	0	0
PAOEAKHP_02161	contig_2_pilon	2458016	2458957	-	942	39	24	41
PAOEAKHP_02162	contig_2_pilon	2459057	2459608	-	552	87	62	60
PAOEAKHP_02163	contig_2_pilon	2459707	2460915	-	1209	28	37	43
PAOEAKHP_02164	contig_2_pilon	2460918	2461394	-	477	2	0	0
PAOEAKHP_02165	contig_2_pilon	2461535	2462311	-	777	2	4	4
PAOEAKHP_02166	contig_2_pilon	2462595	2464391	+	1797	19	13	17
PAOEAKHP_02167	contig_2_pilon	2464477	2465619	-	1143	164	180	241
PAOEAKHP_02168	contig_2_pilon	2465768	2467186	+	1419	16	12	40
PAOEAKHP_02169	contig_2_pilon	2467143	2468438	-	1296	28	39	29
PAOEAKHP_02170	contig_2_pilon	2468461	2469489	-	1029	206	210	173
PAOEAKHP_02171	contig_2_pilon	2469725	2470759	-	1035	86	94	59
PAOEAKHP_02172	contig_2_pilon	2471222	2472598	-	1377	240	211	376
PAOEAKHP_02173	contig_2_pilon	2472630	2472869	-	240	64	77	70
PAOEAKHP_02174	contig_2_pilon	2473078	2473863	+	786	9777	8085	5601
PAOEAKHP_02175	contig_2_pilon	2473860	2474141	+	282	33	65	46
PAOEAKHP_02176	contig_2_pilon	2474289	2475668	-	1380	2612	2788	3174
PAOEAKHP_02178	contig_2_pilon	2477253	2478890	-	1638	145	136	202
PAOEAKHP_02179	contig_2_pilon	2478887	2479951	-	1065	133	155	157
PAOEAKHP_02180	contig_2_pilon	2479948	2480757	-	810	180	192	200
PAOEAKHP_02181	contig_2_pilon	2480837	2481457	-	621	35	32	18
PAOEAKHP_02182	contig_2_pilon	2481756	2482157	+	402	0	0	0
PAOEAKHP_02183	contig_2_pilon	2482189	2483463	-	1275	5	4	14
PAOEAKHP_02184	contig_2_pilon	2483571	2483969	-	399	11	10	11
PAOEAKHP_02185	contig_2_pilon	2483966	2485696	-	1731	10	8	24
PAOEAKHP_02186	contig_2_pilon	2485693	2486616	-	924	2	4	0
PAOEAKHP_02187	contig_2_pilon	2486868	2488325	+	1458	95	73	61
PAOEAKHP_02188	contig_2_pilon	2488373	2489347	-	975	2	15	10
PAOEAKHP_02189	contig_2_pilon	2489489	2489734	+	246	0	2	0
PAOEAKHP_02190	contig_2_pilon	2489834	2491345	+	1512	4	8	2
PAOEAKHP_02191	contig_2_pilon	2491445	2491798	-	354	69	48	45
PAOEAKHP_02192	contig_2_pilon	2492139	2493317	+	1179	4	8	8
PAOEAKHP_02193	contig_2_pilon	2493490	2493744	+	255	0	0	3
PAOEAKHP_02194	contig_2_pilon	2493741	2493992	+	252	2	4	2
PAOEAKHP_02195	contig_2_pilon	2494076	2497240	-	3165	52	66	54
PAOEAKHP_02196	contig_2_pilon	2497481	2498167	-	687	4	4	0
PAOEAKHP_02197	contig_2_pilon	2498164	2499486	-	1323	151	81	150
PAOEAKHP_02198	contig_2_pilon	2499732	2500010	-	279	336	474	514
PAOEAKHP_02199	contig_2_pilon	2500080	2500868	-	789	673	861	1240
PAOEAKHP_02200	contig_2_pilon	2501186	2501782	+	597	31	13	40
PAOEAKHP_02201	contig_2_pilon	2501869	2502597	+	729	31	50	58
PAOEAKHP_02202	contig_2_pilon	2502721	2504568	+	1848	2238	2571	2651
PAOEAKHP_02203	contig_2_pilon	2504584	2505678	+	1095	7	17	17
PAOEAKHP_02204	contig_2_pilon	2505830	2506039	-	210	7	9	11
PAOEAKHP_02205	contig_2_pilon	2506538	2507806	+	1269	8	0	6
PAOEAKHP_02206	contig_2_pilon	2508060	2508833	+	774	0	0	4
PAOEAKHP_02207	contig_2_pilon	2508844	2509890	+	1047	2	0	0
PAOEAKHP_02208	contig_2_pilon	2509983	2511749	+	1767	0	4	8
PAOEAKHP_02209	contig_2_pilon	2511746	2512441	+	696	4	0	0
PAOEAKHP_02210	contig_2_pilon	2512519	2513256	-	738	5	0	12
PAOEAKHP_02211	contig_2_pilon	2513334	2514146	+	813	4	0	0
PAOEAKHP_02212	contig_2_pilon	2514184	2514381	+	198	1	1	0
PAOEAKHP_02213	contig_2_pilon	2514402	2515271	-	870	2	4	13
PAOEAKHP_02214	contig_2_pilon	2515268	2515963	-	696	6	0	2
PAOEAKHP_02215	contig_2_pilon	2516473	2517936	-	1464	2436	2480	2798
PAOEAKHP_02216	contig_2_pilon	2517933	2519513	-	1581	4	11	7
PAOEAKHP_02217	contig_2_pilon	2520049	2522187	-	2139	274	195	242
PAOEAKHP_02218	contig_2_pilon	2522503	2524047	+	1545	8	12	8
PAOEAKHP_02219	contig_2_pilon	2524394	2525782	+	1389	967	658	593
PAOEAKHP_02220	contig_2_pilon	2525836	2527665	+	1830	22	7	24
PAOEAKHP_02221	contig_2_pilon	2527840	2528463	+	624	5	15	1
PAOEAKHP_02222	contig_2_pilon	2528890	2531550	+	2661	4	7	28
PAOEAKHP_02223	contig_2_pilon	2531772	2532743	+	972	0	2	0
PAOEAKHP_02224	contig_2_pilon	2532847	2533794	-	948	86	45	48
PAOEAKHP_02225	contig_2_pilon	2534038	2534556	+	519	123	107	172
PAOEAKHP_02226	contig_2_pilon	2534615	2535106	-	492	3	5	4
PAOEAKHP_02227	contig_2_pilon	2535109	2536095	+	987	134	173	244
PAOEAKHP_02228	contig_2_pilon	2536905	2538131	+	1227	46	72	55
PAOEAKHP_02229	contig_2_pilon	2538216	2539778	-	1563	0	4	2
PAOEAKHP_02230	contig_2_pilon	2540140	2540955	+	816	6	6	12
PAOEAKHP_02231	contig_2_pilon	2541112	2542062	+	951	0	1	2
PAOEAKHP_02232	contig_2_pilon	2542287	2542505	+	219	0	2	0
PAOEAKHP_02233	contig_2_pilon	2542516	2543229	+	714	0	1	2
PAOEAKHP_02234	contig_2_pilon	2543706	2544197	-	492	295	223	286
PAOEAKHP_02235	contig_2_pilon	2544573	2545982	+	1410	34	18	20
PAOEAKHP_02236	contig_2_pilon	2546094	2546411	-	318	4	5	12
PAOEAKHP_02237	contig_2_pilon	2546572	2548893	+	2322	32	30	36
PAOEAKHP_02238	contig_2_pilon	2549099	2549422	-	324	4	6	7
PAOEAKHP_02239	contig_2_pilon	2549561	2550223	-	663	18	1	8
PAOEAKHP_02240	contig_2_pilon	2550220	2552025	-	1806	27	17	22
PAOEAKHP_02241	contig_2_pilon	2552022	2552750	-	729	8	10	1
PAOEAKHP_02242	contig_2_pilon	2553028	2554572	-	1545	5	8	4
PAOEAKHP_02243	contig_2_pilon	2554757	2555746	-	990	2	0	6
PAOEAKHP_02244	contig_2_pilon	2555962	2556435	+	474	80	88	78
PAOEAKHP_02245	contig_2_pilon	2556450	2557367	-	918	63	68	73
PAOEAKHP_02246	contig_2_pilon	2557673	2558602	+	930	20	18	29
PAOEAKHP_02247	contig_2_pilon	2558641	2558922	+	282	16	22	2
PAOEAKHP_02248	contig_2_pilon	2558994	2559620	+	627	68	92	74
PAOEAKHP_02249	contig_2_pilon	2559867	2560490	+	624	46	41	63
PAOEAKHP_02250	contig_2_pilon	2560466	2561395	-	930	563	659	593
PAOEAKHP_02251	contig_2_pilon	2561392	2562192	-	801	60616	57172	42204
PAOEAKHP_02252	contig_2_pilon	2562412	2563707	+	1296	45	45	37
PAOEAKHP_02253	contig_2_pilon	2563671	2564318	+	648	6	6	7
PAOEAKHP_02254	contig_2_pilon	2564428	2564673	+	246	11	6	0
PAOEAKHP_02255	contig_2_pilon	2564781	2566775	+	1995	303	298	316
PAOEAKHP_02256	contig_2_pilon	2566855	2567787	+	933	27	35	32
PAOEAKHP_02257	contig_2_pilon	2567789	2568883	+	1095	20	40	28
PAOEAKHP_02258	contig_2_pilon	2569004	2569720	+	717	60	33	28
PAOEAKHP_02259	contig_2_pilon	2570079	2570420	+	342	24	39	31
PAOEAKHP_02260	contig_2_pilon	2570500	2571111	+	612	24	65	45
PAOEAKHP_02261	contig_2_pilon	2571487	2574120	-	2634	649	515	670
PAOEAKHP_02262	contig_2_pilon	2574167	2575579	-	1413	245	201	292
PAOEAKHP_02263	contig_2_pilon	2575718	2576926	-	1209	279	255	295
PAOEAKHP_02264	contig_2_pilon	2577125	2577784	+	660	163	139	141
PAOEAKHP_02265	contig_2_pilon	2577735	2578256	-	522	14	4	6
PAOEAKHP_02266	contig_2_pilon	2578411	2579241	+	831	143	129	170
PAOEAKHP_02267	contig_2_pilon	2579238	2579426	+	189	24	22	20
PAOEAKHP_02268	contig_2_pilon	2579492	2580049	+	558	7	4	6
PAOEAKHP_02269	contig_2_pilon	2580059	2580799	+	741	906	1832	1829
PAOEAKHP_02270	contig_2_pilon	2580765	2581430	-	666	52657	39664	41987
PAOEAKHP_02271	contig_2_pilon	2581820	2582560	+	741	5320	12680	9519
PAOEAKHP_02272	contig_2_pilon	2582622	2583323	+	702	6063	12852	9345
PAOEAKHP_02273	contig_2_pilon	2583286	2584431	-	1146	904115	956980	815852
PAOEAKHP_02274	contig_2_pilon	2584416	2586020	-	1605	154531	104118	83498
PAOEAKHP_02275	contig_2_pilon	2586022	2586861	-	840	1627	1293	1453
PAOEAKHP_02276	contig_2_pilon	2586861	2587847	-	987	973	1105	1243
PAOEAKHP_02277	contig_2_pilon	2587844	2589112	-	1269	5012	5184	4351
PAOEAKHP_02278	contig_2_pilon	2589467	2591074	+	1608	1150	1222	1030
PAOEAKHP_02279	contig_2_pilon	2591170	2592240	+	1071	48	34	18
PAOEAKHP_02280	contig_2_pilon	2592336	2593172	+	837	3	2	3
PAOEAKHP_02281	contig_2_pilon	2593198	2596233	-	3036	3941	3946	5102
PAOEAKHP_02282	contig_2_pilon	2596230	2597591	-	1362	1453	1547	1260
PAOEAKHP_02283	contig_2_pilon	2597890	2598507	+	618	17	8	1
PAOEAKHP_02284	contig_2_pilon	2598540	2599442	-	903	5	0	6
PAOEAKHP_02285	contig_2_pilon	2599439	2600143	-	705	8	6	13
PAOEAKHP_02286	contig_2_pilon	2600255	2600755	+	501	42	47	29
PAOEAKHP_02287	contig_2_pilon	2600850	2602475	+	1626	75	78	65
PAOEAKHP_02288	contig_2_pilon	2602564	2604318	+	1755	125	107	108
PAOEAKHP_02289	contig_2_pilon	2604375	2604821	-	447	8	10	16
PAOEAKHP_02290	contig_2_pilon	2605086	2606300	-	1215	4	1	2
PAOEAKHP_02291	contig_2_pilon	2606562	2607584	-	1023	2	2	2
PAOEAKHP_02292	contig_2_pilon	2607795	2608460	-	666	0	0	0
PAOEAKHP_02293	contig_2_pilon	2608457	2610076	-	1620	13	10	0
PAOEAKHP_02294	contig_2_pilon	2610292	2611209	+	918	6	5	6
PAOEAKHP_02295	contig_2_pilon	2611307	2611636	-	330	33	28	14
PAOEAKHP_02296	contig_2_pilon	2611629	2612378	-	750	7	5	0
PAOEAKHP_02297	contig_2_pilon	2612441	2612899	+	459	8	17	21
PAOEAKHP_02298	contig_2_pilon	2612987	2614042	+	1056	224	232	222
PAOEAKHP_02299	contig_2_pilon	2614039	2614881	+	843	76	61	81
PAOEAKHP_02300	contig_2_pilon	2614906	2618250	-	3345	705	696	495
PAOEAKHP_02301	contig_2_pilon	2618468	2619280	+	813	28	17	32
PAOEAKHP_02302	contig_2_pilon	2619382	2619516	-	135	118	128	145
PAOEAKHP_02303	contig_2_pilon	2619556	2620794	-	1239	669	689	836
PAOEAKHP_02304	contig_2_pilon	2620791	2620919	-	129	29	54	55
PAOEAKHP_02305	contig_2_pilon	2621275	2622441	+	1167	33	51	126
PAOEAKHP_02306	contig_2_pilon	2622453	2622650	-	198	35	34	133
PAOEAKHP_02307	contig_2_pilon	2622793	2623098	-	306	64	130	241
